Entity,Code,Year,Period life expectancy at birth
Afghanistan,AFG,1950,28.1563
Afghanistan,AFG,1951,28.5836
Afghanistan,AFG,1952,29.0138
Afghanistan,AFG,1953,29.4521
Afghanistan,AFG,1954,29.6975
Afghanistan,AFG,1955,30.366
Afghanistan,AFG,1956,30.8303
Afghanistan,AFG,1957,31.3451
Afghanistan,AFG,1958,31.84
Afghanistan,AFG,1959,32.3365
Afghanistan,AFG,1960,32.7987
Afghanistan,AFG,1961,33.291
Afghanistan,AFG,1962,33.7565
Afghanistan,AFG,1963,34.2008
Afghanistan,AFG,1964,34.6726
Afghanistan,AFG,1965,35.1245
Afghanistan,AFG,1966,35.5831
Afghanistan,AFG,1967,36.042
Afghanistan,AFG,1968,36.5101
Afghanistan,AFG,1969,36.979
Afghanistan,AFG,1970,37.4601
Afghanistan,AFG,1971,37.9324
Afghanistan,AFG,1972,38.4226
Afghanistan,AFG,1973,38.951
Afghanistan,AFG,1974,39.4687
Afghanistan,AFG,1975,39.9944
Afghanistan,AFG,1976,40.5184
Afghanistan,AFG,1977,41.0821
Afghanistan,AFG,1978,40.0859
Afghanistan,AFG,1979,38.8441
Afghanistan,AFG,1980,39.2581
Afghanistan,AFG,1981,39.4058
Afghanistan,AFG,1982,36.0577
Afghanistan,AFG,1983,36.5174
Afghanistan,AFG,1984,31.4732
Afghanistan,AFG,1985,32.1316
Afghanistan,AFG,1986,38.4001
Afghanistan,AFG,1987,38.8312
Afghanistan,AFG,1988,43.2381
Afghanistan,AFG,1989,44.4961
Afghanistan,AFG,1990,45.1183
Afghanistan,AFG,1991,45.5207
Afghanistan,AFG,1992,46.5691
Afghanistan,AFG,1993,51.0212
Afghanistan,AFG,1994,50.9689
Afghanistan,AFG,1995,52.1032
Afghanistan,AFG,1996,52.8302
Afghanistan,AFG,1997,53.2123
Afghanistan,AFG,1998,52.487
Afghanistan,AFG,1999,54.5324
Afghanistan,AFG,2000,55.0047
Afghanistan,AFG,2001,55.5113
Afghanistan,AFG,2002,56.2251
Afghanistan,AFG,2003,57.1713
Afghanistan,AFG,2004,57.8098
Afghanistan,AFG,2005,58.2468
Afghanistan,AFG,2006,58.5533
Afghanistan,AFG,2007,58.9563
Afghanistan,AFG,2008,59.7081
Afghanistan,AFG,2009,60.2478
Afghanistan,AFG,2010,60.7018
Afghanistan,AFG,2011,61.2503
Afghanistan,AFG,2012,61.7349
Afghanistan,AFG,2013,62.1878
Afghanistan,AFG,2014,62.2599
Afghanistan,AFG,2015,62.2695
Afghanistan,AFG,2016,62.6459
Afghanistan,AFG,2017,62.4062
Afghanistan,AFG,2018,62.4434
Afghanistan,AFG,2019,62.9411
Afghanistan,AFG,2020,61.4537
Afghanistan,AFG,2021,60.4174
Afghanistan,AFG,2022,65.617
Afghanistan,AFG,2023,66.0346
Africa,,1770,26.4
Africa,,1925,26.4
Africa,,1950,37.2455
Africa,,1951,37.7751
Africa,,1952,38.2546
Africa,,1953,38.7309
Africa,,1954,39.0876
Africa,,1955,39.5474
Africa,,1956,39.9762
Africa,,1957,39.8561
Africa,,1958,40.2405
Africa,,1959,41.194
Africa,,1960,41.3961
Africa,,1961,41.7756
Africa,,1962,42.2531
Africa,,1963,42.7175
Africa,,1964,43.0898
Africa,,1965,43.3551
Africa,,1966,43.4601
Africa,,1967,43.7471
Africa,,1968,44.2523
Africa,,1969,44.5077
Africa,,1970,44.9859
Africa,,1971,45.3999
Africa,,1972,45.4595
Africa,,1973,46.101
Africa,,1974,46.4118
Africa,,1975,46.807
Africa,,1976,47.5487
Africa,,1977,48.0406
Africa,,1978,48.4287
Africa,,1979,48.9562
Africa,,1980,49.4094
Africa,,1981,49.8226
Africa,,1982,50.2133
Africa,,1983,49.5464
Africa,,1984,49.7402
Africa,,1985,50.1332
Africa,,1986,50.5889
Africa,,1987,51.1887
Africa,,1988,51.0598
Africa,,1989,51.7063
Africa,,1990,51.6566
Africa,,1991,51.4937
Africa,,1992,51.4261
Africa,,1993,51.8296
Africa,,1994,49.9595
Africa,,1995,52.3426
Africa,,1996,52.3704
Africa,,1997,52.5837
Africa,,1998,52.3988
Africa,,1999,53.0619
Africa,,2000,53.667
Africa,,2001,54.006
Africa,,2002,54.3921
Africa,,2003,54.8416
Africa,,2004,55.3428
Africa,,2005,55.8494
Africa,,2006,56.4629
Africa,,2007,57.0818
Africa,,2008,57.6655
Africa,,2009,57.7517
Africa,,2010,58.7703
Africa,,2011,58.9598
Africa,,2012,59.8046
Africa,,2013,60.2673
Africa,,2014,60.4728
Africa,,2015,60.8437
Africa,,2016,61.2078
Africa,,2017,61.514
