Year,State,Minimum_Wage,Voter_Turnout, Median_Household_Income 
,,,,
1984,Alabama,0,60.8," $17,310 "
1984,Alaska,3.85,59.1," $32,356 "
1984,Arizona,0,54," $21,425 "
1984,Arkansas,2.7,60.3," $15,674 "
1984,California,3.35,55.7," $25,287 "
1984,Colorado,1.9,60.5," $25,801 "
1984,Connecticut,3.37,64.2," $29,951 "
1984,Delaware,2,58.9," $25,819 "
1984,District of Columbia,2.5,54," $20,408 "
1984,Florida,0,53.3," $19,785 "
1984,Georgia,1.25,52.4," $19,984 "
1984,Hawaii,3.1,54.5," $28,877 "
1984,Idaho,2.3,67.5," $21,092 "
1984,Illinois,2.3,66.9," $23,752 "
1984,Indiana,2,62.3," $22,770 "
1984,Iowa,0,68.6," $19,863 "
1984,Kansas,1.6,63.3," $24,629 "
1984,Kentucky,2.15,59," $17,680 "
1984,Louisiana,0,64.9," $18,949 "
1984,Maine,3.35,68.7," $20,648 "
1984,Maryland,3.35,60," $29,708 "
1984,Massachusetts,3.35,60.9," $26,959 "
1984,Michigan,3.35,62.3," $22,965 "
1984,Minnesota,3.1,75.6," $24,436 "
1984,Mississippi,0,69.3," $15,430 "
1984,Missouri,0,65.5," $20,775 "
1984,Montana,2,70.8," $19,536 "
1984,Nebraska,1.6,62.7," $21,397 "
1984,Nevada,2.75,46.1," $25,776 "
1984,New Hampshire,3.35,59.7," $25,914 "
1984,New Jersey,3.35,60.9," $27,776 "
1984,New Mexico,2.9,61.7," $20,630 "
1984,New York,3.35,57.8," $22,027 "
1984,North Carolina,2.9,56.5," $20,569 "
1984,North Dakota,2.8,71," $20,771 "
1984,Ohio,2.3,62.3," $23,123 "
1984,Oklahoma,3.1,59.7," $21,148 "
1984,Oregon,3.1,67," $21,399 "
1984,Pennsylvania,3.35,58.6," $20,346 "
1984,Rhode Island,2.9,62.7," $21,612 "
1984,South Carolina,0,48.6," $20,309 "
1984,South Dakota,2.3,68.4," $19,409 "
1984,Tennessee,0,58," $16,782 "
1984,Texas,1.4,54.4," $23,024 "
1984,Utah,2.5,71.3," $23,057 "
1984,Vermont,3.35,61.1," $22,578 "
1984,Virginia,2.65,56.6," $26,525 "
1984,Washington,2.3,64.5," $25,017 "
1984,West Virginia,2.75,59.1," $16,843 "
1984,Wisconsin,3.25,71.5," $20,743 "
1984,Wyoming,1.6,66.3," $23,816 "
,,,,
1988,Alabama,0,56.9," $19,948 "
1988,Alaska,3.85,59.4," $33,103 "
1988,Arizona,0,54," $26,435 "
1988,Arkansas,3.25,55.8," $20,172 "
1988,California,3.35,51.7," $30,287 "
1988,Colorado,3,65.4," $26,214 "
1988,Connecticut,3.75,63.9," $36,213 "
1988,Delaware,3.35,58.7," $30,505 "
1988,District of Columbia,3.5,52.7," $26,741 "
1988,Florida,0,54.5," $25,406 "
1988,Georgia,3.25,49.6," $26,566 "
1988,Hawaii,3.85,54.7," $33,024 "
1988,Idaho,2.3,63.9," $23,450 "
1988,Illinois,3.35,60.7," $29,524 "
1988,Indiana,2,60.3," $26,293 "
1988,Iowa,0,63.6," $24,305 "
1988,Kansas,1.6,60.6," $25,566 "
1988,Kentucky,3.35,49.7," $19,907 "
1988,Louisiana,0,65.2," $20,497 "
1988,Maine,3.65,66.7," $26,402 "
1988,Maryland,3.35,54.8," $36,552 "
1988,Massachusetts,3.65,63.6," $33,213 "
1988,Michigan,3.35,59.5," $29,472 "
1988,Minnesota,3.55,69.7," $29,087 "
1988,Mississippi,0,62.6," $18,166 "
1988,Missouri,0,64.5," $23,443 "
1988,Montana,3.35,68.6," $22,231 "
1988,Nebraska,3.35,63.4," $25,159 "
1988,Nevada,3.35,46.9," $27,983 "
1988,New Hampshire,3.55,58," $34,625 "
1988,New Jersey,3.35,59.5," $36,287 "
1988,New Mexico,3.35,54.5," $19,296 "
1988,New York,3.35,54," $28,915 "
1988,North Carolina,3.35,52.9," $24,415 "
1988,North Dakota,2.8,73.2," $24,092 "
1988,Ohio,2.3,62.1," $27,740 "
1988,Oklahoma,3.35,55.6," $23,667 "
1988,Oregon,3.35,63.8," $27,748 "
1988,Pennsylvania,3.35,54.8," $26,742 "
1988,Rhode Island,3.65,60.7," $29,842 "
1988,South Carolina,0,49.2," $25,533 "
1988,South Dakota,2.8,72," $22,294 "
1988,Tennessee,0,51.4," $20,856 "
1988,Texas,3.35,53.9," $24,963 "
1988,Utah,2.5,69.8," $26,313 "
1988,Vermont,3.55,64," $28,988 "
1988,Virginia,2.65,58," $32,648 "
1988,Washington,2.3,61.9," $32,327 "
1988,West Virginia,3.35,52.7," $19,353 "
1988,Wisconsin,3.35,70.2," $29,575 "
1988,Wyoming,1.6,61.7," $26,419 "
,,,,
1992,Alabama,0,63.6," $25,808 "
1992,Alaska,4.75,68.6," $41,802 "
1992,Arizona,0,64.7," $29,358 "
1992,Arkansas,3.65,58," $23,882 "
1992,California,4.25,52.8," $34,903 "
1992,Colorado,3,68.8," $32,484 "
1992,Connecticut,4.27,71.7," $40,841 "
1992,Delaware,4.25,66.1," $35,678 "
1992,District of Columbia,3.9,66.1," $30,247 "
1992,Florida,0,55.8," $27,349 "
1992,Georgia,3.25,54.1," $28,797 "
1992,Hawaii,3.85,55.2," $42,113 "
1992,Idaho,4.25,66.9," $27,704 "
1992,Illinois,4.25,65.1," $31,551 "
1992,Indiana,3.35,63," $28,530 "
1992,Iowa,4.65,70.8," $28,743 "
1992,Kansas,2.65,71.9," $30,346 "
1992,Kentucky,4.25,57.6," $23,485 "
1992,Louisiana,0,68.6," $25,439 "
1992,Maine,4.25,74.1," $29,617 "
1992,Maryland,4.25,66.4," $37,203 "
1992,Massachusetts,4.25,65.8," $36,359 "
1992,Michigan,3.35,65.9," $32,267 "
1992,Minnesota,4.25,74.2," $30,981 "
1992,Mississippi,0,66.7," $20,570 "
1992,Missouri,4.25,66.2," $27,361 "
1992,Montana,4.25,71.4," $26,525 "
1992,Nebraska,4.25,66.1," $30,048 "
1992,Nevada,4.25,58.1," $31,908 "
1992,New Hampshire,4.25,64.6," $39,436 "
1992,New Jersey,4.25,61.2," $39,000 "
1992,New Mexico,3.35,62.6," $25,860 "
1992,New York,4.25,56.8," $31,051 "
1992,North Carolina,3.8,60," $27,771 "
1992,North Dakota,4.25,71.1," $26,959 "
1992,Ohio,4.25,64.3," $31,404 "
1992,Oklahoma,4.25,67.5," $25,284 "
1992,Oregon,4.75,69.1," $31,927 "
1992,Pennsylvania,4.25,59.9," $29,882 "
1992,Rhode Island,4.45,69," $30,432 "
1992,South Carolina,0,58," $27,578 "
1992,South Dakota,4.25,70.2," $26,259 "
1992,Tennessee,0,55.6," $24,318 "
1992,Texas,3.35,55.6," $27,953 "
1992,Utah,4.25,72.3," $34,251 "
1992,Vermont,4.25,68.6," $32,755 "
1992,Virginia,3.65,61.2," $38,198 "
1992,Washington,4.25,66.3," $33,900 "
1992,West Virginia,3.8,57.3," $20,271 "
1992,Wisconsin,3.8,75.3," $33,308 "
1992,Wyoming,1.6,64.2," $30,209 "
,,,,
1996,Alabama,0,55.6," $30,302 "
1996,Alaska,4.75,59.5," $52,779 "
1996,Arizona,0,47.3," $31,637 "
1996,Arkansas,4.25,51.5," $27,123 "
1996,California,4.25,48.4," $38,812 "
1996,Colorado,3,58.8," $40,950 "
1996,Connecticut,4.27,58.5," $42,119 "
1996,Delaware,4.65,54.7," $39,309 "
1996,District of Columbia,5.25,59.6," $31,966 "
1996,Florida,0,50.7," $30,641 "
1996,Georgia,3.25,49.6," $32,496 "
1996,Hawaii,5.25,43.1," $41,772 "
1996,Idaho,4.25,60.1," $34,709 "
1996,Illinois,4.25,55.6," $39,554 "
1996,Indiana,3.35,55.8," $35,147 "
1996,Iowa,4.65,61.1," $33,209 "
1996,Kansas,2.65,62," $32,585 "
1996,Kentucky,4.25,52.8," $32,413 "
1996,Louisiana,0,61.8," $30,262 "
1996,Maine,4.25,67.7," $34,696 "
1996,Maryland,4.25,54.4," $43,993 "
1996,Massachusetts,4.75,56.3," $39,494 "
1996,Michigan,3.35,58.1," $39,225 "
1996,Minnesota,4.25,66.9," $40,991 "
1996,Mississippi,0,55.1," $26,677 "
1996,Missouri,4.25,61.1," $34,265 "
1996,Montana,4.25,67.3," $28,684 "
1996,Nebraska,4.25,61," $34,014 "
1996,Nevada,4.25,47.8," $38,540 "
1996,New Hampshire,4.25,60.1," $39,407 "
1996,New Jersey,5.05,54.7," $47,468 "
1996,New Mexico,4.25,51.7," $25,086 "
