Team,Team Name,Year,Average Age,Total Payroll Allocations,Active 26-Man,Injured,Retained,Buried,Wins,Losses,Postseason
OAK,Oakland Athletics,2024,26.5,"$62,132,581","$28,956,713","$15,581,092","$15,557,073","$1,763,221",69,93,No Playoffs
PIT,Pittsburgh Pirates,2024,27.7,"$84,050,989","$51,220,210","$14,524,211","$15,341,351","$2,965,217",76,86,No Playoffs
TB,Tampa Bay Rays,2024,26.8,"$89,707,422","$37,691,876","$13,179,262","$34,675,167","$1,706,572",80,82,No Playoffs
DET,Detroit Tigers,2024,26,"$96,961,614","$33,226,992","$26,677,166","$36,920,494","$1,070,295",86,76,Wildcard
CLE,Cleveland Guardians,2024,26.3,"$105,224,582","$50,885,032","$21,120,833","$22,945,837","$10,272,880",92,69,Division Winner
BAL,Baltimore Orioles,2024,28.4,"$109,335,494","$65,994,548","$10,808,540","$30,650,082","$1,882,324",91,71,Wildcard
MIL,Milwaukee Brewers,2024,27.9,"$114,223,379","$71,398,748","$34,433,308","$6,151,779","$2,239,544",93,69,Division Winner
CIN,Cincinnati Reds,2024,28.3,"$100,254,855","$52,050,116","$22,271,250","$20,560,145","$1,573,344",77,85,No Playoffs
KC,Kansas City Royals,2024,29.4,"$122,566,873","$84,606,907","$14,486,000","$21,087,524","$2,386,442",86,76,Wildcard
WSH,Washington Nationals,2024,26.9,"$103,945,407","$60,351,144","$26,347,303","$14,212,004","$2,847,990",71,91,No Playoffs
MIA,Miami Marlins,2024,26.7,"$96,590,305","$11,473,396","$19,701,083","$64,284,585","$4,131,241",62,100,No Playoffs
MIN,Minnesota Twins,2024,28.5,"$129,080,051","$102,020,614","$22,053,202","$2,570,833","$2,435,402",82,80,No Playoffs
SEA,Seattle Mariners,2024,28.5,"$147,930,632","$93,668,820","$29,288,727","$28,968,591","$2,004,494",85,77,No Playoffs
SD,San Diego Padres,2024,30,"$170,855,090","$142,394,254","$9,034,386","$19,045,542","$2,437,482",93,69,Wildcard
ARI,Arizona Diamondbacks,2024,28.9,"$172,806,829","$134,502,970","$9,600,600","$25,631,063","$3,001,465",89,73,No Playoffs
STL,St. Louis Cardinals,2024,28,"$175,932,759","$112,213,666","$44,602,200","$18,024,055","$1,092,838",83,79,No Playoffs
BOS,Boston Red Sox,2024,27.5,"$188,537,445","$77,327,289","$76,400,974","$31,745,306","$3,063,876",81,81,No Playoffs
COL,Colorado Rockies,2024,26.8,"$146,100,965","$79,534,485","$51,060,000","$13,132,583","$2,373,897",61,101,No Playoffs
LAD,Los Angeles Dodgers,2024,30.4,"$240,240,117","$169,526,771","$37,949,016","$27,706,461","$1,846,901",98,64,Division Winner
SF,San Francisco Giants,2024,27.6,"$201,967,381","$102,704,227","$53,113,846","$44,357,646","$1,791,662",80,82,No Playoffs
PHI,Philadelphia Phillies,2024,29,"$246,299,605","$226,211,338","$3,031,516","$15,356,883","$1,699,868",95,67,Division Winner
ATL,Atlanta Braves,2024,30.9,"$236,433,901","$156,338,167","$47,028,814","$29,249,155","$8,417,765",89,73,Wildcard
LAA,Los Angeles Angels,2024,27.4,"$172,189,987","$40,083,433","$108,620,160","$18,817,429","$5,873,804",63,99,No Playoffs
CHC,Chicago Cubs,2024,27.9,"$229,567,975","$177,805,468","$10,207,418","$36,617,219","$7,604,537",83,79,No Playoffs
TEX,Texas Rangers,2024,29.4,"$225,545,408","$141,209,070","$70,265,121","$8,523,079","$798,138",78,84,No Playoffs
HOU,Houston Astros,2024,29.2,"$255,271,371","$174,853,862","$45,109,866","$21,665,317","$13,642,326",88,73,Division Winner
TOR,Toronto Blue Jays,2024,27.9,"$218,402,819","$132,130,693","$26,456,777","$54,615,363","$5,199,986",74,88,No Playoffs
CHW,Chicago White Sox,2024,26.1,"$132,497,547","$74,306,691","$8,284,460","$46,893,796","$3,012,600",41,121,No Playoffs
NYY,New York Yankees,2024,29.1,"$308,574,607","$260,231,924","$25,630,756","$19,146,394","$3,565,533",94,68,Division Winner
NYM,New York Mets,2024,30.4,"$314,748,899","$186,528,021","$37,578,740","$87,720,420","$3,931,503",89,73,Wildcard
BAL,Baltimore Orioles,2023,28,"$68,706,439","$53,159,734","$3,179,476","$9,861,733","$2,505,496",101,61,Division Winner
TB,Tampa Bay Rays,2023,27.5,"$74,948,362","$50,544,710","$15,788,201","$2,956,334","$1,004,572",99,63,Wildcard
PIT,Pittsburgh Pirates,2023,25.6,"$74,670,975","$30,946,061","$22,463,351","$17,801,293","$3,460,270",76,86,No Playoffs
CIN,Cincinnati Reds,2023,27.7,"$95,573,417","$43,815,845","$9,699,072","$38,896,450","$3,162,050",82,80,No Playoffs
CLE,Cleveland Guardians,2023,26.3,"$88,911,627","$54,881,912","$1,881,400","$30,397,406","$1,158,646",76,86,No Playoffs
OAK,Oakland Athletics,2023,26.1,"$62,243,227","$31,196,397","$7,178,987","$16,193,039","$7,674,804",50,112,No Playoffs
MIL,Milwaukee Brewers,2023,28.9,"$115,413,345","$86,339,557","$11,924,851","$13,590,062","$3,260,808",92,70,Division Winner
MIA,Miami Marlins,2023,28.7,"$105,435,809","$59,782,517","$25,595,861","$10,698,514","$1,158,917",84,78,No Playoffs
WSH,Washington Nationals,2023,26.9,"$93,378,663","$49,949,016","$32,648,896","$7,902,056","$2,646,435",71,91,No Playoffs
ARI,Arizona Diamondbacks,2023,27.6,"$116,777,354","$60,263,998","$11,197,775","$39,202,529","$6,113,052",84,78,Wildcard
SEA,Seattle Mariners,2023,27.1,"$124,766,903","$71,896,948","$27,157,168","$24,571,247","$1,141,540",88,74,No Playoffs
DET,Detroit Tigers,2023,27.5,"$119,344,514","$82,493,535","$20,259,107","$15,005,322","$1,586,550",78,84,No Playoffs
KC,Kansas City Royals,2023,26.7,"$95,596,347","$54,242,001","$17,014,952","$22,659,571","$1,679,823",56,106,No Playoffs
MIN,Minnesota Twins,2023,28.8,"$155,999,708","$77,967,521","$71,263,008","$3,421,766","$3,347,413",87,75,Division Winner
ATL,Atlanta Braves,2023,28.5,"$204,689,131","$158,186,507","$34,160,535","$11,447,888","$894,201",104,58,Division Winner
STL,St. Louis Cardinals,2023,27.8,"$153,793,028","$83,908,832","$48,168,555","$20,560,215","$1,155,426",71,91,No Playoffs
CHC,Chicago Cubs,2023,28.5,"$189,409,358","$134,751,105","$12,522,069","$35,403,285","$6,732,899",83,79,No Playoffs
BOS,Boston Red Sox,2023,28.3,"$180,926,796","$128,063,857","$28,736,341","$22,444,333","$1,682,265",78,84,No Playoffs
SF,San Francisco Giants,2023,28.1,"$187,398,165","$130,565,831","$39,922,449","$15,271,991","$1,637,894",79,83,No Playoffs
LAD,Los Angeles Dodgers,2023,30,"$240,278,296","$149,705,968","$33,764,202","$34,802,727","$1,290,369",100,62,Division Winner
TOR,Toronto Blue Jays,2023,29.6,"$214,630,885","$194,200,854","$6,851,292","$9,776,101","$3,802,638",89,73,Wildcard
HOU,Houston Astros,2023,29.6,"$237,107,748","$211,270,410","$16,713,200","$2,830,000","$2,694,138",90,72,Division Winner
CHW,Chicago White Sox,2023,27.9,"$162,863,836","$85,292,616","$37,717,329","$38,812,106","$1,041,785",61,101,No Playoffs
PHI,Philadelphia Phillies,2023,28.4,"$245,419,295","$218,609,553","$12,530,327","$3,345,770","$10,933,645",90,72,Wildcard
TEX,Texas Rangers,2023,29.2,"$251,332,754","$148,828,188","$96,208,979","$4,993,881","$1,301,706",90,72,No Playoffs
COL,Colorado Rockies,2023,28.1,"$171,026,607","$75,181,741","$46,742,764","$47,613,189","$1,488,913",59,103,No Playoffs
SD,San Diego Padres,2023,29.2,"$253,450,531","$163,098,555","$71,689,912","$16,420,993","$716,071",82,80,No Playoffs
LAA,Los Angeles Angels,2023,26.8,"$227,884,276","$43,769,159","$147,537,321","$28,243,281","$1,334,515",73,89,No Playoffs
NYY,New York Yankees,2023,28.5,"$278,651,150","$187,316,625","$50,681,231","$35,880,817","$1,452,477",82,80,No Playoffs
NYM,New York Mets,2023,28.4,"$341,673,777","$104,157,606","$76,849,257","$158,207,683","$2,459,231",75,87,No Playoffs
BAL,Baltimore Orioles,2022,27.1,"$44,888,388","$25,488,146","$2,759,974","$13,258,460","$3,381,808",83,79,No Playoffs
CLE,Cleveland Guardians,2022,25.6,"$66,477,492","$56,507,878","$702,900","$4,619,812","$4,646,902",92,70,Division Winner
OAK,Oakland Athletics,2022,27.1,"$48,443,900","$15,196,960","$6,642,582","$22,966,027","$3,265,269",60,102,No Playoffs
PIT,Pittsburgh Pirates,2022,26,"$56,184,032","$30,472,503","$8,449,026","$13,072,838","$4,189,665",62,100,No Playoffs
TB,Tampa Bay Rays,2022,27.9,"$97,167,073","$50,869,016","$33,372,433","$11,455,026","$1,470,598",86,76,Wildcard
ARI,Arizona Diamondbacks,2022,27.8,"$85,293,905","$53,176,803","$19,224,958","$9,707,562","$2,484,582",74,88,No Playoffs
SEA,Seattle Mariners,2022,27.6,"$110,826,407","$77,183,408","$9,896,644","$13,680,533","$2,315,822",90,72,Wildcard
MIA,Miami Marlins,2022,27.6,"$88,454,422","$50,291,980","$20,999,362","$10,674,607","$1,938,473",69,93,No Playoffs
KC,Kansas City Royals,2022,26.4,"$92,613,711","$62,728,828","$6,413,200","$21,516,010","$1,955,673",65,97,No Playoffs
MIL,Milwaukee Brewers,2022,28.5,"$130,769,325","$93,743,089","$5,763,506","$26,548,013","$4,714,717",86,76,No Playoffs
STL,St. Louis Cardinals,2022,28.8,"$155,378,325","$134,723,541","$8,750,000","$9,569,813","$2,334,971",93,69,Division Winner
HOU,Houston Astros,2022,29,"$183,791,796","$142,736,145","$21,550,000","$14,691,453","$2,135,613",106,56,Division Winner
ATL,Atlanta Braves,2022,29,"$177,138,888","$143,633,732","$20,918,726","$10,710,954","$1,875,476",101,61,Division Winner
CIN,Cincinnati Reds,2022,27.9,"$115,417,321","$22,546,012","$61,180,258","$30,148,483","$1,542,568",62,100,No Playoffs
TOR,Toronto Blue Jays,2022,28.5,"$177,001,966","$141,662,800","$25,698,159","$7,955,708","$1,685,299",92,70,Wildcard
MIN,Minnesota Twins,2022,27,"$150,363,491","$77,058,186","$53,517,506","$18,666,930","$1,120,869",78,84,No Playoffs
SF,San Francisco Giants,2022,28.3,"$161,717,317","$43,246,200","$90,082,706","$19,651,602","$2,736,809",81,81,No Playoffs
CHC,Chicago Cubs,2022,27.9,"$150,580,017","$83,228,504","$44,219,852","$20,225,459","$2,906,202",74,88,No Playoffs
DET,Detroit Tigers,2022,27.5,"$135,112,588","$105,762,860","$13,017,207","$15,133,063","$1,199,458",66,96,No Playoffs
COL,Colorado Rockies,2022,27.7,"$140,012,218","$66,960,029","$64,172,808","$7,833,905","$1,045,476",68,94,No Playoffs
TEX,Texas Rangers,2022,27.2,"$150,037,446","$100,539,086","$13,330,822","$30,024,329","$6,143,209",68,94,No Playoffs
WSH,Washington Nationals,2022,28.8,"$126,672,438","$58,988,509","$40,679,307","$25,629,924","$1,374,698",55,107,No Playoffs
LAA,Los Angeles Angels,2022,27.7,"$177,727,811","$118,104,253","$6,978,028","$49,768,044","$2,877,486",73,89,No Playoffs
LAD,Los Angeles Dodgers,2022,29.5,"$270,381,426","$231,003,922","$28,920,266","$5,332,866","$1,256,241",111,51,Division Winner
CHW,Chicago White Sox,2022,29.6,"$203,205,326","$154,697,729","$20,008,123","$25,306,501","$3,192,973",81,81,No Playoffs
SD,San Diego Padres,2022,29.2,"$224,511,694","$173,934,032","$10,925,000","$34,528,348","$921,017",89,73,Wildcard
NYY,New York Yankees,2022,29.6,"$252,957,200","$214,676,803","$25,203,665","$12,115,094","$961,638",99,63,Division Winner
NYM,New York Mets,2022,30.1,"$264,342,506","$222,412,889","$4,155,954","$28,130,999","$992,664",101,61,Wildcard
BOS,Boston Red Sox,2022,28.8,"$211,812,131","$109,769,156","$50,192,677","$48,696,520","$3,153,778",78,84,No Playoffs
PHI,Philadelphia Phillies,2022,28.3,"$244,484,097","$158,569,333","$11,897,332","$30,945,214","$9,883,756",87,75,Wildcard
CLE,Cleveland Guardians,2021,26.6,"$50,670,534","$35,682,311","$1,367,760","$11,873,544","$1,470,889",80,82,No Playoffs
TB,Tampa Bay Rays,2021,28.1,"$70,104,552","$44,288,651","$18,352,159","$6,218,025","$1,245,717",100,62,Division Winner
BAL,Baltimore Orioles,2021,26.8,"$42,421,870","$13,838,690","$7,682,535","$19,045,619","$1,855,026",52,110,No Playoffs
MIA,Miami Marlins,2021,27.1,"$58,088,180","$16,304,223","$15,489,077","$23,940,904","$2,353,976",67,95,No Playoffs
PIT,Pittsburgh Pirates,2021,26.8,"$54,356,609","$17,797,841","$7,847,255","$19,989,602","$971,911",61,101,No Playoffs
SEA,Seattle Mariners,2021,27.4,"$83,822,113","$57,010,274","$16,037,933","$8,004,079","$2,199,327",90,72,No Playoffs
OAK,Oakland Athletics,2021,30,"$89,767,668","$51,210,210","$34,397,095","$2,500,111","$1,079,752",86,76,No Playoffs
MIL,Milwaukee Brewers,2021,28.9,"$99,377,415","$79,937,621","$3,109,474","$10,266,654","$6,217,716",95,67,Division Winner
DET,Detroit Tigers,2021,27.5,"$83,698,945","$61,408,153","$13,503,703","$8,352,752","$434,337",77,85,No Playoffs
KC,Kansas City Royals,2021,27.4,"$91,595,545","$52,514,932","$15,758,956","$21,740,784","$1,580,873",74,88,No Playoffs
CHW,Chicago White Sox,2021,28,"$140,406,825","$125,829,369","$3,193,240","$10,099,143","$1,285,073",93,69,Division Winner
CIN,Cincinnati Reds,2021,28,"$126,587,447","$85,325,437","$35,531,500","$4,226,409","$1,504,101",83,79,No Playoffs
COL,Colorado Rockies,2021,27.7,"$116,208,966","$79,695,422","$5,931,272","$19,571,956","$3,010,316",74,87,No Playoffs
TEX,Texas Rangers,2021,27,"$95,788,819","$24,843,032","$7,899,375","$58,916,700","$4,129,712",60,102,No Playoffs
SF,San Francisco Giants,2021,29.6,"$171,191,545","$134,386,796","$19,766,740","$12,958,219","$4,079,790",107,55,Division Winner
