team,attendance,wins,attend_percent
Arizona,27687.0,82.0,56.9
Atlanta,31552.0,90.0,76.8
Baltimore,20053.0,47.0,44.1
Boston,35747.0,108.0,95.3
Chicago Cubs,38793.0,95.0,94.3
Chicago White Sox,20110.0,62.0,50.1
Cincinnati,20115.0,67.0,47.5
Cleveland,24083.0,91.0,55.4
Colorado,37233.0,91.0,73.7
Detroit,23212.0,64.0,56.3
Houston,36796.0,103.0,89.8
Kansas City,20556.0,58.0,54.2
LA Angels,37286.0,80.0,82.1
LA Dodgers,47042.0,92.0,84.0
Miami,10013.0,63.0,26.7
Milwaukee,35195.0,96.0,84.0
Minnesota,24489.0,78.0,63.6
NY Mets,28164.0,77.0,67.4
NY Yankees,42998.0,100.0,86.6
Oakland,19427.0,97.0,55.4
Philadelphia,27318.0,80.0,63.4
Pittsburgh,18786.0,82.0,49.0
San Diego,26837.0,66.0,64.5
San Francisco,38965.0,73.0,93.0
Seattle,28388.0,89.0,59.3
St. Louis,42019.0,88.0,95.6
Tampa Bay,14258.0,90.0,41.8
Texas,26013.0,67.0,52.9
Toronto,29066.0,73.0,59.0
Washington,31620.0,82.0,76.2
Arizona,26350.0,93.0,54.2
Atlanta,30929.0,72.0,75.3
Baltimore,25042.0,75.0,55.1
Boston,36020.0,93.0,95.9
Chicago Cubs,39500.0,92.0,96.0
Chicago White Sox,20626.0,67.0,50.8
Cincinnati,22677.0,68.0,53.6
Cleveland,25285.0,102.0,58.2
Colorado,36464.0,87.0,72.2
Detroit,28661.0,64.0,69.5
Houston,29674.0,101.0,72.9
Kansas City,27754.0,80.0,73.2
LA Angels,37278.0,80.0,82.1
LA Dodgers,46492.0,104.0,83.0
Miami,20395.0,77.0,54.2
Milwaukee,31589.0,86.0,75.4
Minnesota,25640.0,85.0,64.9
NY Mets,30757.0,70.0,73.6
NY Yankees,39835.0,91.0,80.2
Oakland,18446.0,75.0,52.6
Philadelphia,24118.0,66.0,55.3
Pittsburgh,23696.0,75.0,62.5
San Diego,26401.0,71.0,61.8
San Francisco,40785.0,64.0,97.3
Seattle,26363.0,78.0,55.1
St. Louis,42567.0,83.0,96.8
Tampa Bay,15670.0,80.0,45.6
Texas,30960.0,78.0,63.0
