observation_date,Average_Ticket_Price_Index
1/1/1999,107.35
1/1/2000,114.275
1/1/2001,118.517
1/1/2002,122.283
1/1/2003,128.583
1/1/2004,132.708
1/1/2005,136.992
1/1/2006,141.817
1/1/2007,147.392
1/1/2008,150.755
1/1/2009,153.062
1/1/2010,155.417
1/1/2011,156.944
1/1/2012,160.063
1/1/2013,161.765
1/1/2014,164.749
1/1/2015,168.412
1/1/2016,174.514
1/1/2017,178.997
1/1/2018,182.673
1/1/2019,185.993
1/1/2020,189.007
1/1/2021,194.549
1/1/2022,206.2
1/1/2023,218.035
1/1/2024,225.859
