borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,22,,A5,19-24 81ST STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1,A5,925000,2024-11-25
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,34,,A5,19-48 81ST STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1,A5,960000,2025-04-14
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,43,,A5,21-57 80 STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1950.0,1,A5,0,2025-05-09
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,45,,A5,21-53 80 STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1950.0,1,A5,0,2025-04-21
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,53,,A5,21-37 80 STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1950.0,1,A5,0,2025-10-06
4,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS,1,976,56,,B3,21-31 80TH ST,,11370.0,2.0,0.0,2.0,1800.0,1224.0,1950.0,1,B3,0,2025-03-21
4,AIRPORT LA GUARDIA,07 RENTALS - WALKUP APARTMENTS,2A,949,68,,C2,1949 80TH ST,,11370.0,6.0,0.0,6.0,2415.0,4014.0,1971.0,2,C2,950000,2024-11-06
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1007,,R2,"19-41 80 STREET, A-1",1,11370.0,1.0,,1.0,,,,2,R2,450000,2025-01-31
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1034,,R2,"80-18 19 AVENUE, 2",2,11370.0,1.0,,1.0,,,,2,R2,575201,2025-10-09
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15831,24,,A2,3-31 BEACH 41ST STREET,,11691.0,1.0,0.0,1.0,3804.0,1600.0,1930.0,1,A2,680000,2025-10-16
