borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,11,,A5,4720 AMBOY ROAD,,10312.0,1.0,0.0,1.0,2880.0,910.0,2002.0,1,A5,800000,2025-02-27
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,12,,A5,4718 AMBOY ROAD,,10312.0,1.0,0.0,1.0,1746.0,910.0,2002.0,1,A5,655000,2025-06-17
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,40,,A1,551 OAKDALE STREET,,10312.0,1.0,0.0,1.0,10000.0,3904.0,1980.0,1,A1,1350000,2025-03-12
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,4,,A1,26 EDWIN STREET,,10312.0,1.0,0.0,1.0,7654.0,2277.0,1980.0,1,A1,0,2025-07-17
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,6,,A1,24 EYLANDT STREET,,10312.0,1.0,0.0,1.0,10080.0,3408.0,1984.0,1,A1,0,2025-05-22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,5,,A2,28 JANSEN STREET,,10312.0,1.0,0.0,1.0,10800.0,2164.0,1980.0,1,A2,1150000,2025-10-01
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,4,,A2,260 SHIRLEY AVENUE,,10312.0,1.0,0.0,1.0,7500.0,1600.0,1970.0,1,A2,995000,2024-11-26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,31,,A1,85 NOEL STREET,,10312.0,1.0,0.0,1.0,5000.0,2400.0,2002.0,1,A1,1200000,2025-02-18
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,5,,A1,110 NOEL STREET,,10312.0,1.0,0.0,1.0,5800.0,2700.0,1998.0,1,A1,1417000,2025-04-29
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,43,,A3,111 LENZIE STREET,,10312.0,1.0,0.0,1.0,6200.0,4280.0,1998.0,1,A1,1420000,2024-11-07
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,35,,A5,103 ELMBANK STREET,,10312.0,1.0,0.0,1.0,2500.0,1200.0,1999.0,1,A5,635000,2025-04-28
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,14,,A5,97 EAGAN AVENUE,,10312.0,1.0,0.0,1.0,1845.0,1854.0,1986.0,1,A5,0,2025-03-12
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,79,,A5,4 SEGUINE PLACE,,10312.0,1.0,0.0,1.0,1755.0,1854.0,1986.0,1,A5,683000,2025-01-23
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,128,,A5,14 MAY PLACE,,10312.0,1.0,0.0,1.0,2400.0,2495.0,1986.0,1,A5,0,2025-09-22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,145,,A5,60 SEGUINE PLACE,,10312.0,1.0,0.0,1.0,1471.0,1172.0,1986.0,1,A5,570000,2024-11-22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,1,,A5,39 EAGAN AVE,,10312.0,1.0,0.0,1.0,2600.0,1825.0,1986.0,1,A5,755500,2025-07-30
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,33,,A5,102 SEGUINE PLACE,,10312.0,1.0,0.0,1.0,1550.0,1521.0,1986.0,1,A5,136956,2025-06-09
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,22,,A1,84 JEANETTE AVENUE,,10312.0,1.0,0.0,1.0,6000.0,1088.0,1940.0,1,A1,0,2025-03-12
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,57,,A5,95 LORRAINE AVENUE,,10312.0,1.0,0.0,1.0,2400.0,1548.0,2005.0,1,A5,710000,2025-09-11
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,89,,A1,1094 ARDEN AVENUE,,10312.0,1.0,0.0,1.0,4200.0,1536.0,1970.0,1,A1,0,2025-09-16
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,26,,A1,110 MOSELY AVENUE,,10312.0,1.0,0.0,1.0,7500.0,1480.0,1960.0,1,A1,850000,2025-02-12
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6217,13,,A1,109 BARCLAY AVENUE,,10312.0,1.0,0.0,1.0,5000.0,1617.0,1965.0,1,A1,870000,2024-12-20
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,10,,A5,76 LORRAINE AVE,,10312.0,1.0,0.0,1.0,9776.0,1394.0,2004.0,1,A5,870000,2024-11-04
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,24,,A5,49 ENDVIEW STREET,,10312.0,1.0,0.0,1.0,2260.0,1700.0,2004.0,1,A5,755000,2025-08-01
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,40,,A5,8 RALPH AVENUE,,10312.0,1.0,0.0,1.0,2320.0,936.0,1991.0,1,A5,0,2025-03-05
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,52,,A5,35 JEANNETTE AVENUE,,10312.0,1.0,0.0,1.0,2400.0,1580.0,2004.0,1,A5,785000,2025-06-26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,61,,A1,15 JEANNETTE AVENUE,,10312.0,1.0,0.0,1.0,4640.0,2350.0,2006.0,1,A1,1237000,2025-08-22
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,23,,A1,34 JEANNETTE AVENUE,,10312.0,1.0,0.0,1.0,3000.0,960.0,1930.0,1,A1,400000,2025-09-26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,131,,A5,56 JEANNETTE AVENUE,,10312.0,1.0,0.0,1.0,2660.0,1600.0,2004.0,1,A5,725000,2024-11-26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6226,148,,A2,915 CARLTON BOULEVARD,,10312.0,1.0,0.0,1.0,5200.0,920.0,1950.0,1,A2,680000,2024-12-18
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,35,,A1,138 EDGEGROVE AVENUE,,10312.0,1.0,0.0,1.0,4000.0,2000.0,1995.0,1,A1,0,2025-02-18
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,41,,A1,126 EDGEGROVE AVENUE,,10312.0,1.0,0.0,1.0,6000.0,2240.0,1940.0,1,A1,0,2025-09-23
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6233,25,,A2,210 RENSSELAER AVENUE,,10312.0,1.0,0.0,1.0,4000.0,960.0,1960.0,1,A2,660000,2025-07-14
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6234,1,,A2,237 RENSSELAER AVENUE,,10312.0,1.0,0.0,1.0,5000.0,1144.0,1965.0,1,A2,760000,2024-11-13
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6238,7,,A1,443 JEFFERSON BOULEVARD,,10312.0,1.0,0.0,1.0,6000.0,1488.0,1940.0,1,A1,0,2025-06-26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6242,26,,A5,46 MOSELY AVENUE,,10312.0,1.0,0.0,1.0,4125.0,1200.0,1975.0,1,A5,755000,2025-08-26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,186,,A1,43 PINE TERRACE,,10312.0,1.0,0.0,1.0,6000.0,2878.0,1960.0,1,A1,999000,2024-11-20
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,194,,A2,25 PINE TERRACE,,10312.0,1.0,0.0,1.0,7500.0,1848.0,1960.0,1,A2,0,2025-07-31
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,233,,A2,18 PINE TERRACE,,10312.0,1.0,0.0,1.0,4500.0,1008.0,1960.0,1,A2,815000,2025-01-30
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6246,11,,A1,5 POILLON AVENUE,,10312.0,1.0,0.0,1.0,9300.0,2884.0,1975.0,1,A1,0,2025-03-08
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6246,36,,A1,16 FURMAN STREET,,10312.0,1.0,0.0,1.0,10600.0,2404.0,1978.0,1,A1,1275000,2025-08-26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6246,60,,A1,5031 AMBOY ROAD,,10312.0,1.0,0.0,1.0,9504.0,1572.0,1899.0,1,A1,799000,2025-01-10
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,2,,A1,263 ALBEE AVENUE,,10312.0,1.0,0.0,1.0,7830.0,2440.0,1970.0,1,A1,1645000,2025-08-07
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,161,,A1,35 ELY AVENUE,,10312.0,1.0,0.0,1.0,4452.0,1768.0,1965.0,1,A1,875000,2025-06-23
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,200,,A1,1026 ANNADALE ROAD,,10312.0,1.0,0.0,1.0,13720.0,1598.0,1945.0,1,A1,1500000,2025-06-25
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,233,,A2,104 NORTH PINE TERRACE,,10312.0,1.0,0.0,1.0,4000.0,2008.0,1965.0,1,A2,778000,2025-03-11
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,266,,A2,149 NORTH PINE TERRACE,,10312.0,1.0,0.0,1.0,7880.0,1912.0,1965.0,1,A2,0,2025-05-21
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6254,47,,A1,46 NORTH RAILROAD ST,,10312.0,1.0,0.0,1.0,8000.0,2240.0,1980.0,1,A1,960000,2024-12-27
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6261,69,,A2,257 EDGEGROVE AVENUE,,10312.0,1.0,0.0,1.0,5000.0,2310.0,1970.0,1,A2,999800,2025-08-27
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6264,21,,A1,224 RATHBUN AVENUE,,10312.0,1.0,0.0,1.0,6000.0,2658.0,1945.0,1,A1,580000,2025-06-10
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6267,9,,A1,313 SHELDON AVENUE,,10312.0,1.0,0.0,1.0,8000.0,1800.0,1945.0,1,A1,764451,2024-11-19
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6267,38,,A3,346 JEFFERSON BOULEVARD,,10312.0,1.0,0.0,1.0,6000.0,3360.0,2011.0,1,A3,1600000,2024-12-06
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6267,70,,A1,317 SHELDON AVENUE,,10312.0,1.0,0.0,1.0,4000.0,1120.0,1930.0,1,A1,800000,2024-11-04
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6272,19,,A1,14 CANTON AVENUE,,10312.0,1.0,0.0,1.0,3960.0,2267.0,2017.0,1,A1,1145000,2024-11-19
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6278,16,,A1,303 EDGEGROVE AVENUE,,10312.0,1.0,0.0,1.0,4000.0,1840.0,1984.0,1,A1,0,2025-03-25
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6278,41,,A1,353 EDGEGROVE AVENUE,,10312.0,1.0,0.0,1.0,7300.0,2320.0,1970.0,1,A1,750000,2025-02-28
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6281,20,,A1,380 IONIA AVENUE,,10312.0,1.0,0.0,1.0,6000.0,2360.0,1966.0,1,A1,799999,2024-12-02
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6281,40,,A2,387 EDGEGROVE AVENUE,,10312.0,1.0,0.0,1.0,6000.0,1596.0,1975.0,1,A2,0,2024-12-20
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6298,7,,A2,112 RAMONA AVENUE,,10312.0,1.0,0.0,1.0,4000.0,2220.0,1974.0,1,A2,908000,2025-06-25
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6304,15,,A3,404 VINELAND AVENUE,,10312.0,1.0,0.0,1.0,8500.0,3600.0,1992.0,1,A3,0,2024-11-21
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6304,15,,A3,404 VINELAND AVENUE,,10312.0,1.0,0.0,1.0,8500.0,3600.0,1992.0,1,A3,800000,2025-01-07
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6320,65,,A2,74 BUFFINGTON AVENUE,,10312.0,1.0,0.0,1.0,4000.0,1125.0,1965.0,1,A2,0,2025-03-28
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6320,69,,A5,66 BUFFINGTON AVENUE,,10312.0,1.0,0.0,1.0,3000.0,1724.0,1970.0,1,A5,581400,2025-06-16
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6321,160,,A2,67 ARCHWOOD AVENUE,,10312.0,1.0,0.0,1.0,4000.0,1125.0,1975.0,1,A2,655000,2025-10-28
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6323,1,,A1,264 ALBEE AVENUE,,10312.0,1.0,0.0,1.0,4000.0,1672.0,1975.0,1,A1,0,2025-01-13
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6353,40,,A1,110 BAYVIEW TERRACE,,10312.0,1.0,0.0,1.0,3200.0,2500.0,1992.0,1,A1,1400000,2024-11-12
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6364,8,,A1,50 TYNDALE STREET,,10312.0,1.0,0.0,1.0,6000.0,2259.0,1975.0,1,A1,965000,2025-10-01
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6364,87,,A3,19 LUNA CIRCLE,,10312.0,1.0,0.0,1.0,15600.0,4560.0,1980.0,1,A3,1775000,2025-07-09
