IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EUR,Europe,Country,ALB,Albania,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,AGO,Angola,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,BHS,Bahamas,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,BRB,Barbados,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,BLZ,Belize,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,BEN,Benin,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,BFA,Burkina Faso,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,BDI,Burundi,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,CPV,Cabo Verde,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,CMR,Cameroon,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,CAF,Central African Republic,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,TCD,Chad,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,CHN,China,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,COM,Comoros,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,COK,Cook Islands,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,DMA,Dominica,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,ERI,Eritrea,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,SWZ,Eswatini,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,ETH,Ethiopia,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,FJI,Fiji,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,GAB,Gabon,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EUR,Europe,Country,GEO,Georgia,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,GHA,Ghana,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,GRD,Grenada,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,GTM,Guatemala,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,GIN,Guinea,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,GUY,Guyana,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,HTI,Haiti,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,HND,Honduras,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,SEAR,South-East Asia,Country,IND,India,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,IDN,Indonesia,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EUR,Europe,Country,ISR,Israel,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,JAM,Jamaica,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,KEN,Kenya,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,LSO,Lesotho,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
