FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,AFE,Africa Eastern and Southern,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,114.4386810357938,121.37128249529518,120.14567682302642,131.7403703547213,140.32105413436415,148.21077779607154,164.67582966714784,177.49652640811323,184.5957883524989,193.66241207947985,195.87820135900765,201.90081095785663,199.06499419117128,206.71509532430457,203.2615426862261,207.0294306808688,214.9702059963469,206.30225120177545,203.61867645065524,208.6599806533173,209.39244173440105,218.24352672498424,228.08106569455384,
A,Annual,AFG,Afghanistan,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,85.8518071050677,85.9267296124687,93.9246419108852,105.91549843299,118.394179135793,112.239283082398,137.415320027982,153.091578828564,148.264513269064,146.844395694768,154.907340394318,177.620084430486,201.790858687031,215.22618730457,238.744805717295,264.206605700799,299.372497750532,320.826991868121,324.667104880284,360.758387791744,383.107287891772,
A,Annual,AFW,Africa Western and Central,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,70.10272311623261,73.26198172398405,71.4683521926313,109.9297878065782,111.93994751134076,116.91493216368065,119.35492662962903,119.6756437049552,122.5090058725398,133.06936999899506,126.13259146476484,130.15472891884744,132.13657815723624,141.49829579231022,149.38637459247428,155.3157318266515,150.4218315941282,149.0592080059648,135.27466611559993,140.75104390740506,160.18524922229432,182.22879395590024,200.8920668744448,
A,Annual,AGO,Angola,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,63.4003107420659,153.460841950517,127.319645254125,137.598337063144,169.09787701418,139.065224820371,145.122372218449,181.289148976683,220.963616013354,249.696743806266,178.040358407835,177.55705381199,177.106108624016,208.746520550018,197.489337836377,189.345393720409,190.471974629813,201.261772286835,182.639949683101,173.056601558737,217.194973649642,213.965742674272,216.919253689478,
A,Annual,ALB,Albania,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,223.932671658244,247.754429419241,262.034732030808,288.151295192257,312.494677322504,328.989438261097,362.750624556357,424.164494780109,446.392459751755,507.54595325836,597.190988772009,629.773629431601,646.010243965431,661.308883729337,720.827111449012,748.979120077507,806.71592089968,832.95143857199,891.454487044383,992.41247605423,1070.48538695703,1187.26269088892,1186.21533550295,
A,Annual,AND,Andorra,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,1925.59782315138,2078.18244864405,2304.44349608584,2227.52224891044,2182.87638182237,2416.00272622612,2322.85154976112,2378.73706351328,2631.07203934258,2700.29867472525,3437.32634001465,3547.72834377549,3187.78639052258,3269.72081339441,3427.41469477311,3683.37369517534,3595.24600295779,3718.59203913703,4036.92520062585,4091.7103058248,4643.17867970877,4925.30234269521,5136.41694760428,5640.93945946982
A,Annual,ARB,Arab World,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,414.6282765211429,451.0503348952534,454.3967096766863,444.4199566022996,459.7439932789033,457.5949528399024,487.0709555950047,522.6749026350196,528.1061887919334,642.9360751169078,600.0608395281528,620.8741492219996,678.6178890922129,698.7260440440631,740.8875454621434,747.8946761372433,761.3387023971397,768.5739953622327,740.296306617305,760.1962236340901,811.4605572736183,803.9084000628991,775.6711943499408,
A,Annual,ARE,United Arab Emirates,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,2158.51514136279,2206.66044829668,2363.17139725953,2409.54893424618,2387.44515798075,2310.10845662107,2441.33747857835,2542.10423057351,2723.30254285087,3375.10379297711,3101.52999956368,3087.05682096236,2886.06838380692,2969.58097040148,2989.61938663472,2483.54166343065,2671.53322947657,2802.07775504616,2936.61891978681,3236.16093438588,4091.27466225839,3921.77370529474,3813.76187094342,
A,Annual,ARG,Argentina,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,1056.77882479721,1040.53228145689,822.722055947403,842.742246886578,875.84423375046,1024.65999414764,1133.9861149929,1288.9726705695,1413.35131607726,1530.16106861737,1685.54865702259,1799.34592443877,1910.59331762242,1951.52562630035,1887.98782273992,2040.30661358494,1987.32956570145,2401.09130264362,2388.69495125707,2334.7578716735,2182.31348485949,2418.79579332705,2664.35265619585,
A,Annual,ARM,Armenia,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,109.415129911128,137.583779422161,261.659683509,288.403452372299,277.495933438648,317.276613039784,371.46710363634,409.809432435374,541.898113335374,598.684811687631,680.596361150825,740.428516428546,844.18696649804,1006.73418614018,1018.0802204597,1010.20646242674,1071.61347974711,1268.30146627628,1321.48947638517,1649.65062606716,1675.7051038128,1878.32564311793,1823.54031671336,
A,Annual,ATG,Antigua and Barbuda,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,804.846485085238,892.166255417994,879.119137036553,992.551255867359,977.73171830594,1035.67975464789,1102.76168007456,1172.4907661347,1112.38457101197,965.429289899965,1143.85757287555,1145.02050022017,1112.59268799285,1076.12572595584,1165.83462943908,1044.90966570924,1071.96794763605,1020.31598401746,1114.74037681887,1063.20361174561,1168.15587792132,1110.74738624653,1435.93621057426,
A,Annual,AUS,Australia,WB_WDI_SH_XPD_CHEX_PP_CD,"Current health expenditure per capita, PPP (current international $)",PPP,Purchasing Power Parities,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,2138.46306850251,2257.97201562646,2414.08069483739,2540.01146778902,2733.99163525178,2825.65463347698,3005.87542200632,3177.44205200511,3291.36865759866,3545.91580074301,3587.38001971963,3770.5007512509,3786.95632787945,4160.10514657905,4657.64439449205,4782.24519785576,5031.3263342711,5104.52200421288,5306.76189197308,5450.58696843483,6044.07487089174,6614.92691208297,7072.17230138827,
