Year,Team,Total Salary,Win Percentage,Additional Measure,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Linear,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
2025.0,Angels,208420995,0.444,,,,,,,,,,,,,,
2025.0,Astros,232140003,0.537,,,,,,,,,,,,,,
2025.0,Athletics,78384241,0.469,,,,,,,,,,,,,4.778825808949312e-10,0.42391929099210524
2025.0,Blue Jays,255230406,0.58,,,,,,,,,,,,,8.641037230344225e-11,0.01496559836275391
2025.0,Braves,220223651,0.469,,,,,,,,,,,,,0.17126369108875972,0.07312203367795671
2025.0,Brewers,137618720,0.599,,,,,,,,,,,,,30.585152368231963,148.0
2025.0,Cardinals,131152698,0.481,,,,,,,,,,,,,0.16353366557169857,0.7913311077616348
2025.0,Cubs,214020073,0.568,,,,,,,,,,,,,,
2025.0,Diamondbacks,177424443,0.494,,,,,,,,,,,,,,
2025.0,Dodgers,350024106,0.574,,,,,,,,,,,,,,
2025.0,Giants,178562152,0.5,,,,,,,,,,,,,,
2025.0,Guardians,100265946,0.543,,,,,,,,,,,,,,
2025.0,Mariners,165596493,0.556,,,,,,,,,,,,,1.4093342837399633e-07,
2025.0,Marlins,67794627,0.488,,,,,,,,,,,,,,
2025.0,Mets,342303011,0.512,,,,,,,,,,,,,,
2025.0,Nationals,109465924,0.407,,,,,,,,,,,,,,
2025.0,Orioles,158571377,0.463,,,,,,,,,,,,,,
2025.0,Padres,223125239,0.438,,,,,,,,,,,,,,
2025.0,Phillies,293240191,0.593,,,,,,,,,,,,,,
2025.0,Pirates,84423338,0.475,,,,,,,Logarithmic,,,,,,,
2025.0,Rangers,226526491,0.549,,,,,,,,,,,,,,
2025.0,Rays,88629788,0.506,,,,,,,,,,,,,,
2025.0,Red Sox,203658855,0.512,,,,,,,,,,,,,,
2025.0,Reds,119036486,0.37,,,,,,,,,,,,,,
2025.0,Rockies,127325786,0.537,,,,,,,,,,,,,,
2025.0,Royals,133630058,0.432,,,,,,,,,,,,,,
2025.0,Tigers,157542361,0.537,,,,,,,,,,,,,,
2025.0,Twins,129650732,0.432,,,,,,,,,,,,,,
2025.0,White Sox,79960763,0.37,,,,,,,,,,,,,,
2025.0,Yankees,304091683,0.58,,,,,,,,,,,,,,
2024.0,Angels,171986921,0.389,,,,,,,,,,,,,,
2024.0,Astros,248670553,0.547,,,,,,,,,,,,,,
2024.0,Athletics,63503127,0.426,,,,,,,,,,,,,,
2024.0,Blue Jays,219180044,0.457,,,,,,,,,,,,,,
2024.0,Braves,238108491,0.549,,,,,,,,,,,,,,
2024.0,Brewers,124643685,0.574,,,,,,,,,,,,,,
2024.0,Cardinals,179440274,0.512,,,,,,,,,,,,,,
2024.0,Cubs,231700554,0.512,,,,,,,,,,,,,,
2024.0,Diamondbacks,178427194,0.549,,,,,,,,,,,,,,
2024.0,Dodgers,266640208,0.605,,,,,,,,,,,,,,
2024.0,Giants,207092069,0.494,,,,,,,,,,,,,,
2024.0,Guardians,107113214,0.571,,,,,,,,,,,,,,
2024.0,Mariners,149346087,0.525,,,,,,,,,,,,,,
2024.0,Marlins,97569865,0.383,,,,,,,,,,,,,,
2024.0,Mets,322960494,0.549,,,,,,,,,,,,,,
2024.0,Nationals,107128130,0.438,,,,,,,,,,,,,,
2024.0,Orioles,111309008,0.562,,,,,,,,,,,,,,
2024.0,Padres,172855090,0.574,,,,,,,,,,,,,,
2024.0,Phillies,244253627,0.586,,,,,,,,,,,,,,
2024.0,Pirates,85405037,0.442,,,,,,,,,,,,,,
2024.0,Rangers,227545408,0.481,,,,,,,,,,,,,,
2024.0,Rays,89852001,0.494,,,,,,,,,,,,,,
2024.0,Red Sox,190176844,0.5,,,,,,,,,,,,,,
2024.0,Reds,102298823,0.475,,,,,,,,,,,,,,
2024.0,Rockies,147506521,0.377,,,,,,,,,,,,,,
2024.0,Royals,125570914,0.531,,,,,,,,,,,,,,
2024.0,Tigers,98607894,0.531,,,,,,,,,,,,,,
2024.0,Twins,131225880,0.506,,,,,,,,,,,,,,
2024.0,White Sox,142916866,0.253,,,,,,,,,,,,,,
2024.0,Yankees,315616982,0.58,,,,,,,,,,,,,,
2023.0,Angels,230534276,0.451,,,,,,,,,,,,,,
2023.0,Astros,237107748,0.556,,,,,,,,,,,,,,
2023.0,Athletics,62258711,0.309,,,,,,,,,,,,,,
2023.0,Blue Jays,214916600,0.549,,,,,,,,,,,,,,
2023.0,Braves,206424932,0.642,,,,,,,,,,,,,,
2023.0,Brewers,129339624,0.568,,,,,,,,,,,,,,
2023.0,Cardinals,153793028,0.438,,,,,,,,,,,,,,
2023.0,Cubs,189869996,0.512,,,,,,,,,,,,,,
2023.0,Diamondbacks,119296377,0.519,,,,,,,,,,,,,,
2023.0,Dodgers,235747111,0.617,,,,,,,,,,,,,,
2023.0,Giants,189413646,0.488,,,,,,,,,,,,,,
