YEAR,STATE,FERTILITY RATE,BIRTHS,URL
2023,AL,57.9,57858,/nchs/pressroom/states/alabama/al.htm
2023,AK,62.4,9015,/nchs/pressroom/states/alaska/ak.htm
2023,AZ,54.2,78096,/nchs/pressroom/states/arizona/az.htm
2023,AR,59.2,35264,/nchs/pressroom/states/arkansas/ar.htm
2023,CA,50.4,400108,/nchs/pressroom/states/california/ca.htm
2023,CO,50.2,61494,/nchs/pressroom/states/colorado/co.htm
2023,CT,50.2,34559,/nchs/pressroom/states/connecticut/ct.htm
2023,DE,54.4,10427,/nchs/pressroom/states/DC/DC1.htm
2023,District of Columbia,43,7896,/nchs/pressroom/states/delaware/de.htm
2023,FL,53.9,221410,/nchs/pressroom/states/florida/fl.htm
2023,GA,54.9,125120,/nchs/pressroom/states/georgia/ga.htm
2023,HI,56.9,14808,/nchs/pressroom/states/hawaii/hi.htm
2023,ID,57.6,22397,/nchs/pressroom/states/idaho/id.htm
2023,IL,50.4,124820,/nchs/pressroom/states/illinois/il.htm
2023,IN,58.9,79000,/nchs/pressroom/states/indiana/in.htm
2023,IA,59,36052,/nchs/pressroom/states/iowa/ia.htm
2023,KS,59.5,34065,/nchs/pressroom/states/kansas/ks.htm
2023,KY,60.4,51984,/nchs/pressroom/states/kentucky/ky.htm
2023,LA,60.4,54927,/nchs/pressroom/states/louisiana/la.htm
2023,ME,47,11627,/nchs/pressroom/states/maine/me.htm
2023,MD,54.1,65594,/nchs/pressroom/states/maryland/md.htm
2023,MA,47.4,67093,/nchs/pressroom/states/massachusetts/ma.htm
2023,MI,52.2,99124,/nchs/pressroom/states/michigan/mi.htm
2023,MN,55.7,61715,/nchs/pressroom/states/minnesota/mn.htm
2023,MS,59.2,34459,/nchs/pressroom/states/mississippi/ms.htm
2023,MO,55.8,67123,/nchs/pressroom/states/missouri/mo.htm
2023,MT,52.2,11078,/nchs/pressroom/states/montana/mt.htm
2023,NE,62.5,24111,/nchs/pressroom/states/nebraska/ne.htm
2023,NV,50.8,31794,/nchs/pressroom/states/nevada/nv.htm
2023,NH,46.8,11936,/nchs/pressroom/states/newhampshire/nh.htm
2023,NJ,57.4,101001,/nchs/pressroom/states/newjersey/nj.htm
2023,NM,51.5,20951,/nchs/pressroom/states/newmexico/nm.htm
2023,NY,52.7,203612,/nchs/pressroom/states/newyork/ny.htm
2023,NC,56,120082,/nchs/pressroom/states/northcarolina/nc.htm
2023,ND,62,9647,/nchs/pressroom/states/northdakota/nd.htm
2023,OH,56.4,126896,/nchs/pressroom/states/ohio/oh.htm
2023,OK,59.1,47909,/nchs/pressroom/states/oklahoma/ok.htm
2023,OR,45.9,38298,/nchs/pressroom/states/oregon/or.htm
2023,PA,51.9,126951,/nchs/pressroom/states/pennsylvania/pa.htm
2023,RI,45.2,9805,/nchs/pressroom/states/rhodeisland/ri.htm
2023,SC,55.8,57729,/nchs/pressroom/states/southcarolina/sc.htm
2023,SD,65.6,11201,/nchs/pressroom/states/southdakota/sd.htm
2023,TN,58.9,83021,/nchs/pressroom/states/tennessee/tn.htm
2023,TX,60.6,387945,/nchs/pressroom/states/texas/tx.htm
2023,UT,59.6,45019,/nchs/pressroom/states/utah/ut.htm
2023,VT,42.1,5065,/nchs/pressroom/states/vermont/vt.htm
2023,VA,53.6,92649,/nchs/pressroom/states/virginia/va.htm
2023,WA,51.4,80932,/nchs/pressroom/states/washington/wa.htm
2023,WV,53.1,16606,/nchs/pressroom/states/westvirginia/wv.htm
2023,WI,53.6,59754,/nchs/pressroom/states/wisconsin/wi.htm
2023,WY,54.5,5990,/nchs/pressroom/states/wyoming/wy.htm
2022,AL,58.7,58149,/nchs/pressroom/states/alabama/al.htm
2022,AK,64.9,9359,/nchs/pressroom/states/alaska/ak.htm
2022,AZ,54.9,78547,/nchs/pressroom/states/arizona/az.htm
2022,AR,60.2,35471,/nchs/pressroom/states/arkansas/ar.htm
2022,CA,52.8,419104,/nchs/pressroom/states/california/ca.htm
2022,CO,51.5,62383,/nchs/pressroom/states/colorado/co.htm
2022,CT,50.7,35332,/nchs/pressroom/states/connecticut/ct.htm
2022,District of Columbia,44.9,10816,/nchs/pressroom/states/DC/DC1.htm
2022,DE,57.3,8075,/nchs/pressroom/states/delaware/de.htm
2022,FL,55.6,224433,/nchs/pressroom/states/florida/fl.htm
2022,GA,56,126130,/nchs/pressroom/states/georgia/ga.htm
2022,HI,59.3,15535,/nchs/pressroom/states/hawaii/hi.htm
2022,ID,58.4,22391,/nchs/pressroom/states/idaho/id.htm
2022,IL,51.8,128350,/nchs/pressroom/states/illinois/il.htm
2022,IN,59.7,79649,/nchs/pressroom/states/indiana/in.htm
2022,IA,59.9,36506,/nchs/pressroom/states/iowa/ia.htm
2022,KS,60.3,34401,/nchs/pressroom/states/kansas/ks.htm
2022,KY,61.1,52315,/nchs/pressroom/states/kentucky/ky.htm
2022,LA,61.8,56479,/nchs/pressroom/states/louisiana/la.htm
2022,ME,49.7,12093,/nchs/pressroom/states/maine/me.htm
2022,MD,56.9,68782,/nchs/pressroom/states/maryland/md.htm
2022,MA,48.7,68584,/nchs/pressroom/states/massachusetts/ma.htm
2022,MI,54,102321,/nchs/pressroom/states/michigan/mi.htm
2022,MN,58.2,64015,/nchs/pressroom/states/minnesota/mn.htm
2022,MS,59.7,34675,/nchs/pressroom/states/mississippi/ms.htm
2022,MO,57.7,68985,/nchs/pressroom/states/missouri/mo.htm
2022,MT,53.2,11175,/nchs/pressroom/states/montana/mt.htm
2022,NE,63.6,24345,/nchs/pressroom/states/nebraska/ne.htm
2022,NV,53.2,33193,/nchs/pressroom/states/nevada/nv.htm
2022,NH,47.9,12077,/nchs/pressroom/states/newhampshire/nh.htm
2022,NJ,58.7,102893,/nchs/pressroom/states/newjersey/nj.htm
2022,NM,53.1,21614,/nchs/pressroom/states/newmexico/nm.htm
2022,NY,53.6,207774,/nchs/pressroom/states/newyork/ny.htm
2022,NC,57.6,121562,/nchs/pressroom/states/northcarolina/nc.htm
2022,ND,62,9567,/nchs/pressroom/states/northdakota/nd.htm
2022,OH,57.3,128231,/nchs/pressroom/states/ohio/oh.htm
2022,OK,60.4,48332,/nchs/pressroom/states/oklahoma/ok.htm
2022,OR,47.3,39493,/nchs/pressroom/states/oregon/or.htm
2022,PA,53.3,130252,/nchs/pressroom/states/pennsylvania/pa.htm
2022,RI,47.5,10269,/nchs/pressroom/states/rhodeisland/ri.htm
2022,SC,57,57820,/nchs/pressroom/states/southcarolina/sc.htm
2022,SD,66.5,11201,/nchs/pressroom/states/southdakota/sd.htm
2022,TN,59.3,82265,/nchs/pressroom/states/tennessee/tn.htm
2022,TX,61.9,389741,/nchs/pressroom/states/texas/tx.htm
2022,UT,61.3,45768,/nchs/pressroom/states/utah/ut.htm
2022,VT,44.3,5316,/nchs/pressroom/states/vermont/vt.htm
