State or Territory,MinimumWage,Unemp_rate 
,,
Federal,$7.25,
,,
Alabama,$7.25,2.9
Alaska,$11.73,4.5
Arizona,$14.35,3.4
Arkansas,$11.00,3.4
California,$16.00,5.2
Colorado,$14.42,4.1
Connecticut,$15.69,3.1
Delaware,$13.25,3.8
District of Columbia,$17.00,5.2
Florida,$12.00,3.3
Georgia,$7.25,3.5
,,
Hawaii,$14.00,2.9
Idaho,$7.25,3.6
Illinois,$14.00,5.1
Indiana,$7.25,4.1
Iowa,$7.25,2.9
Kansas,$7.25,3.5
Kentucky,$7.25,4.9
Louisiana,$7.25,4.1
Maine,$14.15,2.9
Maryland,$15.00,3
Massachusetts,$15.00,4
Michigan,$10.33,4.5
Minnesota,$10.85,3.1
Mississippi,$7.25,2.8
Missouri,$12.30,3.7
Montana,$10.30,3
Nebraska,$12.00,2.7
Nevada,$11.25,5.5
New Hampshire,$7.25,2.5
New Jersey,$15.13,4.5
New Mexico,$12.00,4.1
New York,$16.00,4.3
North Carolina,$7.25,3.6
North Dakota,$7.25,2.4
,,
Ohio,$10.45,4.2
Oklahoma,$7.25,3.3
Oregon,$15.45,4.1
Pennsylvania,$7.25,3.6
,,
Rhode Island,$14.00,4.3
South Carolina,$7.25,4.2
South Dakota,$11.20,1.8
Tennessee,$7.25,3.2
Texas,$7.25,4.1
,,
Utah,$7.25,3.2
Vermont,$13.67,2.2
Virginia,$12.00,2.8
Washington,$16.28,4.6
West Virginia,$8.75,4.1
Wisconsin,$7.25,2.9
Wyoming,$7.25,3.1
