,State,MinimumWage,UnemploymentRate
1,Alabama,7.25,2.9
2,Alaska,11.73,4.5
3,Arizona,14.35,3.4
4,Arkansas,11.0,3.4
5,California,16.0,5.2
6,Colorado,14.42,4.1
7,Connecticut,15.69,3.1
8,Delaware,13.25,3.8
9,District of Columbia,17.0,5.2
10,Florida,12.0,3.3
11,Georgia,7.25,3.5
12,Hawaii,14.0,2.9
13,Idaho,7.25,3.6
14,Illinois,14.0,5.1
15,Indiana,7.25,4.1
16,Iowa,7.25,2.9
17,Kansas,7.25,3.5
18,Kentucky,7.25,4.9
19,Louisiana,7.25,4.1
20,Maine,14.15,2.9
21,Maryland,15.0,3.0
22,Massachusetts,15.0,4.0
23,Michigan,10.33,4.5
24,Minnesota,10.85,3.1
25,Mississippi,7.25,2.8
26,Missouri,12.3,3.7
27,Montana,10.3,3.0
28,Nebraska,12.0,2.7
29,Nevada,11.25,5.5
30,New Hampshire,7.25,2.5
31,New Jersey,15.13,4.5
32,New Mexico,12.0,4.1
33,New York,16.0,4.3
34,North Carolina,7.25,3.6
35,North Dakota,7.25,2.4
36,Ohio,10.45,4.2
37,Oklahoma,7.25,3.3
38,Oregon,15.45,4.1
39,Pennsylvania,7.25,3.6
40,Rhode Island,14.0,4.3
41,South Carolina,7.25,4.2
42,South Dakota,11.2,1.8
43,Tennessee,7.25,3.2
44,Texas,7.25,4.1
45,Utah,7.25,3.2
46,Vermont,13.67,2.2
47,Virginia,12.0,2.8
48,Washington,16.28,4.6
49,West Virginia,8.75,4.1
50,Wisconsin,7.25,2.9
51,Wyoming,7.25,3.1
