State,FY20,FY21,FY20_21_pct_change,revenues_per_pupil,FY21_22_pct_change,eighth_grade_scores,fourth_grade_scores,expenditures_per_pupil
Alabama,12822,14057,9.6,14423,2.6,264,230,11862
Alaska,21716,21748,0.1,21346,-1.8,270,226,20186
Arizona,11806,12630,7,13140,4,271,232,10401
Arkansas,12961,14056,8.4,13587,-3.3,267,228,12167
California,17813,19964,12.1,20596,3.2,270,230,16739
Colorado,15833,16249,2.6,16375,0.8,275,236,13447
Connecticut,24881,26176,5.2,25972,-0.8,276,236,23868
Delaware,20714,21527,3.9,20475,-4.9,264,226,18793
District of Columbia,32982,34421,4.4,32955,-4.3,260,223,28128
Florida,13016,13741,5.6,13862,0.9,271,241,11681
Georgia,14762,15549,5.3,16302,4.8,271,235,13549
Hawaii,20564,19692,-4.2,20584,4.5,270,237,17420
Idaho,10862,11391,4.9,11537,1.3,282,236,9662
Illinois,22095,23245,5.2,23126,-0.5,275,237,19188
Indiana,14367,15048,4.7,15150,0.7,279,239,12278
Iowa,15700,16732,6.6,16300,-2.6,277,240,13309
Kansas,16201,16570,2.3,16012,-3.4,272,235,13716
Kentucky,13875,14997,8.1,16026,6.9,269,234,13428
Louisiana,14576,15966,9.5,16948,6.1,266,229,15026
Maine,19342,22310,15.3,20623,-7.6,273,233,18812
Maryland,20514,21295,3.8,21352,0.3,269,229,18192
Massachusetts,22608,24455,8.2,23851,-2.5,284,242,22778
Michigan,16191,17638,8.9,17637,0,273,232,14800
Minnesota,18198,18949,4.1,18612,-1.8,280,239,15327
Mississippi,11840,13020,10,13118,0.8,266,234,11085
Missouri,14869,15936,7.2,15858,-0.5,272,232,12854
Montana,15022,16552,10.2,15731,-5,277,239,13543
Nebraska,16112,16470,2.2,16354,-0.7,279,242,14194
Nevada,12604,12936,2.6,13842,7,269,229,11228
New Hampshire,21423,23090,7.8,22089,-4.3,279,239,20424
New Jersey,26155,27823,6.4,28815,3.6,281,239,25550
New Mexico,15877,16071,1.2,16900,5.2,259,221,13419
New York,32258,32577,1,33970,4.3,274,227,29284
North Carolina,11541,12116,5,12971,7.1,274,236,12120
North Dakota,18254,19665,7.7,18901,-3.9,278,240,15859
Ohio,17140,17988,4.9,17817,-0.9,276,238,15314
Oklahoma,11795,12246,3.8,12758,4.2,264,229,10719
Oregon,17405,18846,8.3,19362,2.7,270,228,15734
Pennsylvania,21547,22123,2.7,22544,1.9,274,238,19126
Rhode Island,20969,22419,6.9,22210,-0.9,270,234,20498
South Carolina,15574,17001,9.2,17256,1.5,269,234,12885
South Dakota,13692,14782,8,14235,-3.7,281,239,11665
Tennessee,12008,13103,9.1,13358,1.9,272,236,11278
Texas,14089,14556,3.3,14656,0.7,273,239,11889
Utah,10951,11581,5.7,11602,0.2,282,240,9496
Vermont,23972,25842,7.8,24624,-4.7,276,234,25073
Virginia,15338,16490,7.5,16815,2,279,236,15092
Washington,19351,20281,4.8,20248,-0.2,276,235,17072
West Virginia,15743,16803,6.7,16282,-3.1,260,226,14124
Wisconsin,16768,17610,5,16955,-3.7,281,240,14567
Wyoming,21208,22318,5.2,22066,-1.1,281,243,18485
