,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,d_share,now,log_votes,residuals
0,2000,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,AL GORE,DEMOCRAT,4942,17208,20250821,TOTAL,0.2871920037192004,0,9.753129670947565,-0.12474134908835594
4,2000,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,AL GORE,DEMOCRAT,13997,56480,20250821,TOTAL,0.24782223796033995,0,10.941641872167123,-0.20266872468643213
8,2000,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,AL GORE,DEMOCRAT,5188,10395,20250821,TOTAL,0.4990860990860991,0,9.249080200292113,0.1035050755261967
12,2000,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,AL GORE,DEMOCRAT,2710,7101,20250821,TOTAL,0.381636389240952,0,8.867990898182093,-0.0015813682039038102
16,2000,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,AL GORE,DEMOCRAT,4977,17973,20250821,TOTAL,0.2769153730595894,0,9.796625910752034,-0.13642908099045542
20,2000,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,AL GORE,DEMOCRAT,3395,4904,20250821,TOTAL,0.6922920065252854,0,8.497806477616047,0.3210837399734095
24,2000,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,AL GORE,DEMOCRAT,3606,7803,20250821,TOTAL,0.46212995001922336,0,8.962263554116761,0.07585380723990848
28,2000,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,AL GORE,DEMOCRAT,15781,38909,20250821,TOTAL,0.40558739623223417,0,10.568980865314236,-0.03281373032385354
32,2000,ALABAMA,AL,CHAMBERS,1017.0,US PRESIDENT,AL GORE,DEMOCRAT,5616,11834,20250821,TOTAL,0.47456481324995775,0,9.378732023236639,0.07477763648531044
36,2000,ALABAMA,AL,CHEROKEE,1019.0,US PRESIDENT,AL GORE,DEMOCRAT,3497,7823,20250821,TOTAL,0.4470152115556692,0,8.96482339168508,0.06065602274779047
40,2000,ALABAMA,AL,CHILTON,1021.0,US PRESIDENT,AL GORE,DEMOCRAT,4806,15092,20250821,TOTAL,0.3184468592631858,0,9.621920081084202,-0.0892298034002359
44,2000,ALABAMA,AL,CHOCTAW,1023.0,US PRESIDENT,AL GORE,DEMOCRAT,3707,7374,20250821,TOTAL,0.5027122321670735,0,8.90571557879409,0.11827061390290605
48,2000,ALABAMA,AL,CLARKE,1025.0,US PRESIDENT,AL GORE,DEMOCRAT,4679,10752,20250821,TOTAL,0.43517485119047616,0,9.282847062762931,0.03849836600442619
52,2000,ALABAMA,AL,CLAY,1027.0,US PRESIDENT,AL GORE,DEMOCRAT,2045,5883,20250821,TOTAL,0.34761176270610233,0,8.679822114864455,-0.029501439376480754
56,2000,ALABAMA,AL,CLEBURNE,1029.0,US PRESIDENT,AL GORE,DEMOCRAT,1664,5092,20250821,TOTAL,0.3267871170463472,0,8.535425959677298,-0.04564159748257318
60,2000,ALABAMA,AL,COFFEE,1031.0,US PRESIDENT,AL GORE,DEMOCRAT,5220,15434,20250821,TOTAL,0.3382143319942983,0,9.644328147017548,-0.07018929120232009
64,2000,ALABAMA,AL,COLBERT,1033.0,US PRESIDENT,AL GORE,DEMOCRAT,10543,21532,20250821,TOTAL,0.4896433215678989,0,9.977295479680848,0.07043760101892516
68,2000,ALABAMA,AL,CONECUH,1035.0,US PRESIDENT,AL GORE,DEMOCRAT,2783,5551,20250821,TOTAL,0.5013511079084849,0,8.621733370690162,0.1261224158306154
72,2000,ALABAMA,AL,COOSA,1037.0,US PRESIDENT,AL GORE,DEMOCRAT,2104,4567,20250821,TOTAL,0.46069629954017954,0,8.426611813185,0.09179772412226878
76,2000,ALABAMA,AL,COVINGTON,1039.0,US PRESIDENT,AL GORE,DEMOCRAT,4440,13613,20250821,TOTAL,0.3261588187761698,0,9.518780497512473,-0.07817179845477146
80,2000,ALABAMA,AL,CRENSHAW,1041.0,US PRESIDENT,AL GORE,DEMOCRAT,1934,4795,20250821,TOTAL,0.4033368091762252,0,8.475328987317539,0.032857755416784484
84,2000,ALABAMA,AL,CULLMAN,1043.0,US PRESIDENT,AL GORE,DEMOCRAT,9758,29525,20250821,TOTAL,0.3304995766299746,0,10.292992641065563,-0.09894796387131377
88,2000,ALABAMA,AL,DALE,1045.0,US PRESIDENT,AL GORE,DEMOCRAT,4906,15806,20250821,TOTAL,0.3103884600784512,0,9.668144893764921,-0.09878782395226066
92,2000,ALABAMA,AL,DALLAS,1047.0,US PRESIDENT,AL GORE,DEMOCRAT,10967,18464,20250821,TOTAL,0.5939666377816292,0,9.823578169307826,0.17974780089511577
96,2000,ALABAMA,AL,DEKALB,1049.0,US PRESIDENT,AL GORE,DEMOCRAT,7056,20285,20250821,TOTAL,0.3478432339166872,0,9.917636975640548,-0.06942705061403048
100,2000,ALABAMA,AL,ELMORE,1051.0,US PRESIDENT,AL GORE,DEMOCRAT,6652,23804,20250821,TOTAL,0.2794488321290539,0,10.077608912764743,-0.14301124812317934
104,2000,ALABAMA,AL,ESCAMBIA,1053.0,US PRESIDENT,AL GORE,DEMOCRAT,4523,11660,20250821,TOTAL,0.3879073756432247,0,9.363919459904483,-0.011399253225411243
108,2000,ALABAMA,AL,ETOWAH,1055.0,US PRESIDENT,AL GORE,DEMOCRAT,17433,39348,20250821,TOTAL,0.4430466605672461,0,10.580200426632649,0.004281549975118593
112,2000,ALABAMA,AL,FAYETTE,1057.0,US PRESIDENT,AL GORE,DEMOCRAT,3064,7808,20250821,TOTAL,0.39241803278688525,0,8.962904128092928,0.006121108562145705
116,2000,ALABAMA,AL,FRANKLIN,1059.0,US PRESIDENT,AL GORE,DEMOCRAT,4793,11103,20250821,TOTAL,0.43168513014500587,0,9.314970621054266,0.03396649526459544
120,2000,ALABAMA,AL,GENEVA,1061.0,US PRESIDENT,AL GORE,DEMOCRAT,2769,9559,20250821,TOTAL,0.28967465216026783,0,9.165238398063762,-0.10318638291721066
124,2000,ALABAMA,AL,GREENE,1063.0,US PRESIDENT,AL GORE,DEMOCRAT,3504,4396,20250821,TOTAL,0.7970882620564149,0,8.388450315523512,0.4294277186386821
