Entity,Corruption Perceptions Index,GINI Coefficient
Afghanistan,24,0.48545042
Albania,36,0.4807775
Algeria,33,0.54880905
Angola,33,0.67775965
Argentina,38,0.549996
Armenia,46,0.47285786
Australia,75,0.4877084
Austria,71,0.43057376
Azerbaijan,23,0.42735595
Bahamas,64,0.6425302
Bahrain,44,0.65271753
Bangladesh,25,0.5019239
Barbados,65,0.5867686
Belarus,39,0.38097727
Belgium,73,0.4322083
Benin,43,0.52564824
Bhutan,68,0.52617615
Bolivia,31,0.6425302
Bosnia and Herzegovina,34,0.47667652
Botswana,60,0.69063354
Brazil,38,0.6917976
Bulgaria,43,0.5079491
Burkina Faso,42,0.5591535
Burundi,17,0.5573985
Cambodia,24,0.57983285
Cameroon,26,0.58562136
Canada,74,0.500908
Cape Verde,60,0.5918956
Central African Republic,24,0.6015719
Chad,19,0.5519882
Chile,67,0.68797165
China,45,0.5657375
Colombia,39,0.7249956
Comoros,19,0.61169124
Congo,21,0.6552578
Costa Rica,54,0.6585465
Cote d'Ivoire,37,0.62549764
Croatia,50,0.45103574
Cuba,45,0.5751208
Cyprus,52,0.44295663
Czechia,56,0.3310569
Democratic Republic of Congo,20,0.62535655
Denmark,90,0.4193013
Djibouti,30,0.5890022
Dominica,55,0.5867686
Dominican Republic,32,0.60446805
East Timor,42,0.49654958
Ecuador,36,0.6065842
Egypt,30,0.53637433
El Salvador,33,0.5943008
Equatorial Guinea,17,0.6217426
Eritrea,22,0.5354351
Estonia,74,0.46095425
Eswatini,30,0.6957838
Ethiopia,38,0.5354351
Fiji,53,0.5586854
Finland,87,0.42604572
France,72,0.4565666
Gabon,29,0.54395306
Gambia,34,0.56800294
Georgia,56,0.55792403
Germany,79,0.4715249
Ghana,43,0.5972729
Greece,52,0.4635235
Grenada,52,0.5867686
Guatemala,24,0.6425302
Guinea,25,0.47070765
Guinea-Bissau,21,0.5133125
Guyana,40,0.6425302
Haiti,17,0.6425302
Honduras,23,0.6425302
Hong Kong,76,0.59227175
Hungary,42,0.4269716
Iceland,74,0.37302083
India,40,0.6270537
Indonesia,34,0.58490986
Iran,25,0.6024575
Iraq,23,0.54620486
Ireland,77,0.45038348
Israel,63,0.58633673
Italy,56,0.51405406
Jamaica,44,0.6425302
Japan,73,0.51507306
Jordan,47,0.56257486
Kazakhstan,36,0.5071626
Kenya,32,0.5738777
Kosovo,41,0.4670546
Kuwait,42,0.5144196
Kyrgyzstan,27,0.505391
Laos,31,0.58658195
Latvia,59,0.46673414
Lebanon,24,0.67957246
Lesotho,37,0.6075842
Liberia,26,0.528644
Libya,17,0.5477459
Lithuania,62,0.46027896
Luxembourg,77,0.4814468
Madagascar,26,0.59951675
Malawi,34,0.5692985
Malaysia,47,0.48920205
Maldives,40,0.477796
Mali,28,0.53791356
Malta,51,0.42000437
Mauritania,30,0.49442834
Mauritius,50,0.5554929
Mexico,31,0.70897335
Moldova,39,0.47316727
Mongolia,33,0.5492623
Montenegro,45,0.50390637
Morocco,38,0.5635528
Mozambique,26,0.6777552
Myanmar,23,0.5331426
Namibia,49,0.73093504
Nepal,34,0.50174105
Netherlands,80,0.38883916
New Zealand,87,0.4557212
Nicaragua,19,0.6425302
Niger,32,0.5241402
Nigeria,24,0.5256126
North Korea,17,0.5524643
North Macedonia,40,0.4190146
Norway,84,0.40807533
Oman,44,0.6675465
Pakistan,27,0.5046676
Panama,36,0.6425302
Papua New Guinea,30,0.5762312
Paraguay,28,0.6425302
Peru,36,0.6874571
Philippines,33,0.5482601
Poland,55,0.4919387
Portugal,62,0.4637224
Qatar,58,0.6626251
Romania,46,0.5362133
Russia,28,0.5873387
Rwanda,51,0.6201528
Saint Lucia,55,0.5867686
Saint Vincent and the Grenadines,60,0.5867686
Sao Tome and Principe,45,0.58935624
Saudi Arabia,51,0.6385445
Senegal,43,0.5435802
Serbia,36,0.5154496
Seychelles,70,0.6127685
Sierra Leone,34,0.5482771
Singapore,83,0.524366
Slovakia,53,0.3606489
Slovenia,56,0.3904762
Solomon Islands,42,0.5586855
Somalia,12,0.5740627
South Africa,43,0.7386394
South Korea,63,0.48482522
South Sudan,13,0.60449
Spain,60,0.4291104
Sri Lanka,36,0.5677437
Sudan,22,0.532267
Suriname,40,0.6425302
Sweden,83,0.421395
Switzerland,82,0.4049405
Syria,13,0.65124637
Taiwan,68,0.615762
Tajikistan,24,0.522299
Tanzania,38,0.5932643
Thailand,36,0.64950436
Togo,30,0.55739915
Trinidad and Tobago,42,0.6425302
Tunisia,40,0.61792094
Turkey,36,0.5965232
Turkmenistan,19,0.5981385
Uganda,26,0.6129876
Ukraine,33,0.3825662
United Arab Emirates,67,0.6014749
United Kingdom,73,0.4760108
United States,69,0.5883082
Uruguay,74,0.5687862
Uzbekistan,31,0.5542575
Vanuatu,48,0.5586854
Venezuela,14,0.6425302
Vietnam,42,0.5463205
Yemen,16,0.69235647
Zambia,33,0.66756016
Zimbabwe,23,0.61889285
