,Year,Pick,Unnamed: 2,BPM,Rank_BPM,Pick.1,Avg_BPM,Rank_Pick
0,2010,1,John Wall,2.2,,1.0,1.4625,1.0
1,2010,2,Evan Turner,-1.9,,2.0,-0.48125,3.0
2,2010,3,Derrick Favors,0.9,,3.0,1.11875,2.0
3,2010,4,Wesley Johnson,-1.6,,4.0,-0.83125,6.0
4,2010,5,DeMarcus Cousins,2.4,,5.0,-1.075,13.0
5,2010,6,Ekpe Udoh,-1.4,,6.0,-0.9875,10.0
6,2010,7,Greg Monroe,1.4,,7.0,-1.31875,17.0
7,2010,8,Al-Farouq Aminu,-0.6,,8.0,-1.55625,18.0
8,2010,9,Gordon Hayward,1.6,,9.0,-0.98125,9.0
9,2010,10,Paul George,3.7,,10.0,-2.33125,33.0
10,2010,11,Cole Aldrich,0.1,,11.0,-0.59375,4.0
11,2010,12,Xavier Henry,-4.4,,12.0,-1.875,24.0
12,2010,13,Ed Davis,-0.2,,13.0,-1.30625,16.0
13,2010,14,Patrick Patterson,0.0,,14.0,-1.9875,26.0
14,2010,15,Larry Sanders,-1.1,,15.0,-0.89375,8.0
15,2010,16,Luke Babbitt,-2.1,,16.0,-2.48125,39.0
16,2010,17,Kevin Séraphin,-4.3,,17.0,-2.5125,40.0
17,2010,18,Eric Bledsoe,1.6,,18.0,-1.9125,25.0
18,2010,19,Avery Bradley,-2.4,,19.0,-2.125,28.0
19,2010,20,James Anderson,-2.7,,20.0,-1.2125,15.0
20,2010,21,Craig Brackins,-9.9,,21.0,-2.40625,36.0
21,2010,22,Elliot Williams,-4.9,,22.0,-1.00625,12.0
22,2010,23,Trevor Booker,-0.5,,23.0,-2.3625,34.0
23,2010,24,Damion James,-3.7,,24.0,-2.70625,44.0
24,2010,25,Dominique Jones,-2.4,,25.0,-2.19375,29.0
25,2010,26,Quincy Pondexter,-1.8,,26.0,-2.30625,32.0
26,2010,27,Jordan Crawford,-1.3,,27.0,-0.68125,5.0
27,2010,28,Greivis Vásquez,-1.2,,28.0,-2.6125,41.0
28,2010,29,Daniel Orton,-3.5,,29.0,-2.9625,46.0
29,2010,30,Lazar Hayward,-4.2,,30.0,-0.875,7.0
30,2010,31,Tibor Pleiß,-11.6,,31.0,-3.9375,56.0
31,2010,32,Dexter Pittman,-7.7,,32.0,-2.45,37.0
32,2010,33,Hassan Whiteside,2.5,,33.0,-2.05,27.0
33,2010,34,Armon Johnson,-4.1,,34.0,-2.36875,35.0
34,2010,35,Nemanja Bjelica,0.3,,35.0,-3.0125,47.0
35,2010,36,Terrico White,0.0,,36.0,-1.79375,22.0
36,2010,37,Darington Hobson,-13.0,,37.0,-3.6875,51.0
37,2010,38,Andy Rautins,-13.2,,38.0,-2.2125,30.0
38,2010,39,Landry Fields,-0.3,,39.0,-1.7875,21.0
39,2010,40,Lance Stephenson,-1.3,,40.0,-4.7625,58.0
40,2010,41,Jarvis Varnado,-3.3,,41.0,-3.1625,48.0
41,2010,42,Da'Sean Butler,0.0,,42.0,-3.625,49.0
42,2010,43,Devin Ebanks,-4.8,,43.0,-3.6375,50.0
43,2010,44,Jerome Jordan,-1.0,,44.0,-2.64375,42.0
44,2010,45,Paulão Prestes,0.0,,45.0,-1.0,11.0
45,2010,46,Gani Lawal,-15.0,,46.0,-3.7375,53.0
46,2010,47,Tiny Gallon,0.0,,47.0,-4.175,57.0
47,2010,48,Latavious Williams,0.0,,48.0,-3.925,55.0
48,2010,49,Ryan Richards,0.0,,49.0,-5.10625,59.0
49,2010,50,Solomon Alabi,-4.4,,50.0,-2.7125,45.0
50,2010,51,Magnum Rolle,0.0,,51.0,-3.69375,52.0
51,2010,52,Luke Harangody,-3.5,,52.0,-2.23125,31.0
52,2010,53,Pape Sy,-6.0,,53.0,-2.7,43.0
