Year,Pick,,BPM,Rank_BPM,Pick,Avg_BPM,Rank_Pick
2010,1,John Wall,2.2,,1,1.4625,1
2010,2,Evan Turner,-1.9,,2,-0.48125,3
2010,3,Derrick Favors,0.9,,3,1.11875,2
2010,4,Wesley Johnson,-1.6,,4,-0.83125,6
2010,5,DeMarcus Cousins,2.4,,5,-1.075,13
2010,6,Ekpe Udoh,-1.4,,6,-0.9875,10
2010,7,Greg Monroe,1.4,,7,-1.31875,17
2010,8,Al-Farouq Aminu,-0.6,,8,-1.55625,18
2010,9,Gordon Hayward,1.6,,9,-0.98125,9
2010,10,Paul George,3.7,,10,-2.33125,33
2010,11,Cole Aldrich,0.1,,11,-0.59375,4
2010,12,Xavier Henry,-4.4,,12,-1.875,24
2010,13,Ed Davis,-0.2,,13,-1.30625,16
2010,14,Patrick Patterson,0,,14,-1.9875,26
2010,15,Larry Sanders,-1.1,,15,-0.89375,8
2010,16,Luke Babbitt,-2.1,,16,-2.48125,39
2010,17,Kevin Séraphin,-4.3,,17,-2.5125,40
2010,18,Eric Bledsoe,1.6,,18,-1.9125,25
2010,19,Avery Bradley,-2.4,,19,-2.125,28
2010,20,James Anderson,-2.7,,20,-1.2125,15
2010,21,Craig Brackins,-9.9,,21,-2.40625,36
2010,22,Elliot Williams,-4.9,,22,-1.00625,12
2010,23,Trevor Booker,-0.5,,23,-2.3625,34
2010,24,Damion James,-3.7,,24,-2.70625,44
2010,25,Dominique Jones,-2.4,,25,-2.19375,29
2010,26,Quincy Pondexter,-1.8,,26,-2.30625,32
2010,27,Jordan Crawford,-1.3,,27,-0.68125,5
2010,28,Greivis Vásquez,-1.2,,28,-2.6125,41
2010,29,Daniel Orton,-3.5,,29,-2.9625,46
2010,30,Lazar Hayward,-4.2,,30,-0.875,7
2010,31,Tibor Pleiß,-11.6,,31,-3.9375,56
2010,32,Dexter Pittman,-7.7,,32,-2.45,37
2010,33,Hassan Whiteside,2.5,,33,-2.05,27
2010,34,Armon Johnson,-4.1,,34,-2.36875,35
2010,35,Nemanja Bjelica,0.3,,35,-3.0125,47
2010,36,Terrico White,0,,36,-1.79375,22
2010,37,Darington Hobson,-13,,37,-3.6875,51
2010,38,Andy Rautins,-13.2,,38,-2.2125,30
2010,39,Landry Fields,-0.3,,39,-1.7875,21
2010,40,Lance Stephenson,-1.3,,40,-4.7625,58
2010,41,Jarvis Varnado,-3.3,,41,-3.1625,48
2010,42,Da'Sean Butler,0,,42,-3.625,49
2010,43,Devin Ebanks,-4.8,,43,-3.6375,50
2010,44,Jerome Jordan,-1,,44,-2.64375,42
