price,rating,class,chain
284,89,Luxury,Four Seasons
140,65,Economy,La Quinta
248,71,Economy,Holiday Inn
124,65,Economy,Red Roof Inn
475,100,Luxury,Four Seasons
498,96,Luxury,Mandarin Oriental
271,70,Economy,Courtyard by Marriott
99,71,Economy,Red Roof Inn
165,65,Economy,Holiday Inn
75,64,Economy,Econo Lodge
100,64,Economy,Super 8
200,69,Economy,Best Western
171,70,Economy,Holiday Inn
274,72,Economy,La Quinta
221,68,Economy,Holiday Inn
238,88,Luxury,Mandarin Oriental
327,85,Luxury,Waldorf Astoria
141,66,Economy,Econo Lodge
340,86,Luxury,Waldorf Astoria
472,95,Luxury,Waldorf Astoria
216,65,Economy,Hilton Garden Inn
390,87,Luxury,Waldorf Astoria
137,67,Economy,Econo Lodge
100,66,Economy,Econo Lodge
148,68,Economy,Red Roof Inn
172,68,Economy,Hilton Garden Inn
98,64,Economy,Econo Lodge
177,67,Economy,Hilton Garden Inn
113,64,Economy,Days Inn
124,67,Economy,Econo Lodge
370,91,Luxury,Mandarin Oriental
494,96,Luxury,Mandarin Oriental
373,96,Luxury,St. Regis
190,68,Economy,La Quinta
73,61,Economy,Red Roof Inn
58,64,Economy,Super 8
455,93,Luxury,Waldorf Astoria
270,87,Luxury,Mandarin Oriental
278,78,Economy,Hilton Garden Inn
381,93,Luxury,Ritz-Carlton
150,66,Economy,Econo Lodge
313,98,Luxury,Four Seasons
106,66,Economy,Days Inn
189,70,Economy,Best Western
212,68,Economy,Courtyard by Marriott
93,61,Economy,Days Inn
156,66,Economy,Holiday Inn
58,65,Economy,Econo Lodge
222,73,Economy,Hilton Garden Inn
189,65,Economy,La Quinta
222,86,Luxury,Ritz-Carlton
130,63,Economy,Super 8
83,68,Economy,Red Roof Inn
427,99,Luxury,Mandarin Oriental
213,67,Economy,Holiday Inn
121,64,Economy,Motel 6
188,62,Economy,Holiday Inn
175,67,Economy,Hilton Garden Inn
126,63,Economy,Days Inn
188,74,Economy,Holiday Inn
106,63,Economy,Motel 6
235,89,Luxury,St. Regis
80,58,Economy,Motel 6
197,71,Economy,Courtyard by Marriott
175,69,Economy,Hilton Garden Inn
216,74,Economy,La Quinta
58,64,Economy,Motel 6
487,100,Luxury,Mandarin Oriental
207,87,Luxury,Ritz-Carlton
255,70,Economy,Hilton Garden Inn
221,76,Economy,La Quinta
293,88,Luxury,Mandarin Oriental
239,72,Economy,Holiday Inn
114,63,Economy,Days Inn
279,72,Economy,Courtyard by Marriott
63,62,Economy,Days Inn
261,67,Economy,Holiday Inn
250,72,Economy,Courtyard by Marriott
251,68,Economy,La Quinta
254,67,Economy,Best Western
237,67,Economy,Holiday Inn
277,69,Economy,Hilton Garden Inn
392,99,Luxury,St. Regis
226,72,Economy,Courtyard by Marriott
103,65,Economy,Days Inn
82,68,Economy,Days Inn
127,65,Economy,Super 8
103,63,Economy,Red Roof Inn
237,70,Economy,Hilton Garden Inn
169,70,Economy,La Quinta
185,65,Economy,Best Western
153,63,Economy,Holiday Inn
496,97,Luxury,Four Seasons
107,67,Economy,Econo Lodge
165,65,Economy,Courtyard by Marriott
256,88,Luxury,Mandarin Oriental
241,73,Economy,Best Western
370,92,Luxury,St. Regis
143,70,Economy,Days Inn
222,66,Economy,Holiday Inn
410,92,Luxury,Mandarin Oriental
98,63,Economy,Red Roof Inn
455,94,Luxury,Ritz-Carlton
327,93,Luxury,Four Seasons
125,70,Economy,Hilton Garden Inn
277,90,Luxury,Four Seasons
83,68,Economy,Motel 6
63,63,Economy,Econo Lodge
