observation_date,PCECC96
1947-01-01,1351.397
1947-04-01,1373.880
1947-07-01,1378.358
1947-10-01,1378.796
1948-01-01,1385.667
1948-04-01,1401.789
1948-07-01,1403.859
1948-10-01,1415.063
1949-01-01,1417.353
1949-04-01,1439.077
1949-07-01,1442.341
1949-10-01,1463.488
1950-01-01,1487.854
1950-04-01,1512.357
1950-07-01,1590.019
1950-10-01,1542.087
1951-01-01,1579.375
1951-04-01,1534.744
1951-07-01,1552.624
1951-10-01,1561.670
1952-01-01,1565.288
1952-04-01,1595.941
1952-07-01,1603.596
1952-10-01,1660.168
1953-01-01,1679.665
1953-04-01,1689.777
1953-07-01,1685.752
1953-10-01,1674.449
1954-01-01,1680.625
1954-04-01,1702.449
1954-07-01,1725.489
1954-10-01,1761.703
1955-01-01,1801.231
1955-04-01,1835.737
1955-07-01,1858.411
1955-10-01,1881.748
1956-01-01,1884.805
1956-04-01,1891.074
1956-07-01,1895.350
1956-10-01,1921.479
1957-01-01,1934.843
1957-04-01,1938.216
1957-07-01,1953.532
1957-10-01,1954.346
1958-01-01,1927.309
1958-04-01,1943.243
1958-07-01,1975.484
1958-10-01,2002.318
1959-01-01,2039.017
1959-04-01,2070.508
1959-07-01,2092.138
1959-10-01,2094.495
1960-01-01,2114.532
1960-04-01,2141.205
1960-07-01,2132.646
1960-10-01,2135.408
1961-01-01,2134.615
1961-04-01,2166.382
1961-07-01,2176.916
1961-10-01,2220.704
1962-01-01,2244.227
1962-04-01,2271.817
1962-07-01,2290.126
1962-10-01,2322.530
1963-01-01,2338.799
1963-04-01,2360.869
1963-07-01,2392.896
1963-10-01,2412.836
1964-01-01,2460.191
1964-04-01,2503.709
1964-07-01,2549.958
1964-10-01,2557.236
1965-01-01,2614.265
1965-04-01,2643.097
1965-07-01,2688.512
1965-10-01,2764.094
1966-01-01,2804.899
1966-04-01,2812.086
1966-07-01,2844.198
1966-10-01,2856.047
1967-01-01,2872.504
1967-04-01,2911.776
1967-07-01,2926.685
1967-10-01,2944.594
1968-01-01,3015.162
1968-04-01,3061.075
1968-07-01,3118.445
1968-10-01,3132.511
1969-01-01,3167.245
1969-04-01,3187.677
1969-07-01,3203.218
1969-10-01,3228.820
1970-01-01,3248.853
1970-04-01,3263.571
1970-07-01,3292.183
1970-10-01,3283.245
1971-01-01,3346.268
1971-04-01,3377.022
1971-07-01,3403.947
1971-10-01,3460.427
1972-01-01,3506.098
1972-04-01,3572.842
1972-07-01,3627.904
