RegionName,Percentage_Increase,Spending_Per_Mile,Beach_Length_Miles
Atlantic City,259.82,36401580,4.09
Long Branch,332.85,325383300,0.51
Cape May,337.67,82149830,1.52
Asbury Park,616.55,326167400,0.48
Manasquan,361.39,26992780,0.69
Wildwood,475.62,20267524,2.10
Ocean City,328.15,43789790,8.12
Ventnor City,333.03,23845340,1.84
Spring Lake,331.61,26992780,0.84
Keansburg,326.08,35276379,1.40
Brigantine,360.85,9525532,6.03
Belmar,497.08,26992780,0.88
Margate City,377.65,4397225,1.57
Lavallette,364.01,171874839,0.93
Monmouth Beach,366.46,326316410,0.56
Sea Isle City,305.14,39912676,5.05
Avalon,547.17,14169040,3.99
Stone Harbor,788.50,21909016,2.54
Deal,725.28,230163333,0.42
Ship Bottom,326.13,109112756,1.27
Beach Haven,379.86,97009211,1.90
Surf City,322.68,160605692,1.30
Sea Bright,347.24,115629032,0.62
Harvey Cedars,304.28,87464656,1.31
Barnegat Light,326.36,3506001,1.05
