Quarterback,Years_in_College,Largest_Contract,Draft_Year
Jared Goff,3,212000000,2016
Patrick Mahomes,3,450000000,2017
Deshaun Watson,3,230000000,2017
Baker Mayfield,4,100000000,2018
Josh Allen,2,330000000,2018
Lamar Jackson,3,260000000,2018
Kyler Murray,1,230500000,2019
Joe Burrow,2,275000000,2020
Tua Tagovailoa,3,212400000,2020
Justin Herbert,4,262500000,2020
Jordan Love,3,220000000,2020
Trevor Lawrence,3,275000000,2021
EJ Manuel,4,8885300,2013
Blake Bortles,3,34947000,2014
Johnny Manziel,2,8248596,2014
Teddy Bridgewater,3,63000000,2014
Jameis Winston,2,28000000,2015
Marcus Mariota,3,24213974,2015
Carson Wentz,4,128000000,2016
Paxton Lynch,3,9476306,2016
Mitch Trubisky,1,29032436,2017
Sam Darnold,2,100500000,2018
Josh Rosen,2,17597760,2018
Daniel Jones,3,160000000,2019
Dwayne Haskins,1,14416614,2019
Zach Wilson,3,35150680,2021
Trey Lance,1,34105258,2021
Justin Fields,3,40000000,2021
Mac Jones,2,15586340,2021
Kenny Pickett,4,14067904,2022
Cam Newton,1,103800000,2011
Jake Locker,4,12586002,2011
Blaine Gabbert,2,12001646,2011
Christian Ponder,3,10158698,2011
