,Year,Unemployment_Rate,Opioid_Deaths_per_100k
0,1999,4.1,2.9
1,2000,3.966666666666667,3.0
2,2001,4.741666666666666,3.3
3,2002,5.783333333333334,4.1
4,2003,5.991666666666667,4.5
5,2004,5.541666666666667,4.7
6,2005,5.083333333333333,5.1
7,2006,4.608333333333333,5.9
8,2007,4.616666666666666,6.1
9,2008,5.8,6.4
10,2009,9.283333333333333,6.6
11,2010,9.608333333333334,6.8
12,2011,8.933333333333334,7.3
13,2012,8.075,7.4
14,2013,7.358333333333333,7.9
15,2014,6.158333333333334,9.0
16,2015,5.2749999999999995,10.4
17,2016,4.875,13.3
18,2017,4.358333333333333,14.9
19,2018,3.891666666666666,14.6
20,2019,3.6750000000000003,15.5
21,2020,8.544444444444444,21.4
