Team,Week ,Date,Opp,Game Type,Result,Winning Points,Losing Point,Spread Result,Spread,O/U result,Over/Under,Point Total,Temperature,Weather,Wind (mph),Bad Weather,,,,,,,,
Miami,Week 1,8-Sep-24,vs Jacksonville,REG,W,20,17,L,-3.5,U,49.5,37,91,Clear,13,No,,,,,,,,
Miami,Week 2,12-Sep-24,vs Buffalo,REG,L,31,10,L,-2.5,U,48.5,41,87,Clear,3,No,,,,,,,,
Miami,Week 3,22-Sep-24,@ Seattle,REG,L,24,3,L,4,U,41.5,27,66,Clear,0,No,,,,,,,,
Miami,Week 4,30-Sep-24,vs Tennessee,REG,L,31,12,L,-2.5,O,37.5,43,87,Clear,8,No,,,,,,,,
Miami,Week 5,6-Oct-24,@ New England,REG,W,15,10,W,-2,U,37,25,64,Partly Cloudy,3,No,,,,,,,,
Miami,Week 7,20-Oct-24,@ Indianapolis,REG,L,16,10,L,3,U,44,26,75,Clear,0,No,,,,,,,,
Miami,Week 8,27-Oct-24,vs Arizona,REG,L,28,27,L,-4.5,O,46.5,55,83,Partly Cloudy,14,No,,,,,,,,
Miami,Week 9,3-Nov-24,@ Buffalo,REG,L,30,27,W,6,O,49,57,51,Partly Cloudy,6,No,,,,,,,,
Miami,Week 10,11-Nov-24,@ LA Rams,REG,W,23,15,W,2.5,U,49.5,38,75,Clear,0,No,,,,,,,,
Miami,Week 11,17-Nov-24,vs Las Vegas,REG,W,34,19,W,-8,O,43.5,53,82,Overcast,13,No,,,,,,,,
Miami,Week 12,24-Nov-24,vs New England,REG,W,34,15,W,-7.5,O,45.5,49,77,Clear,7,No,,,,,,,,
Miami,Week 13,28-Nov-24,@ Green Bay,REG,L,30,17,L,3.5,U,47.5,47,27,Overcast,10,Yes,,,,,,,,
Miami,Week 14,8-Dec-24,vs NY Jets,REG,W,32,26,L,-6.5,O,45.5,58,78,Mostly Cloudy,13,No,,,,,,,,
Miami,Week 15,15-Dec-24,@ Houston,REG,L,20,12,L,2.5,U,46.5,32,75,Clear,0,No,,,,,,,,
Miami,Week 16,22-Dec-24,vs San Francisco,REG,W,29,17,W,2,O,44,46,75,Clear,10,No,,,,,,,,
Miami,Week 17,29-Dec-24,@ Cleveland,REG,W,20,3,W,-3,U,32.5,23,61,Rain,9,Yes,,,,,,,,
Miami,Week 18,5-Jan-25,@ NY Jets,REG,L,32,20,L,2,O,39.5,52,31,Clear,17,Yes,,,,,,,,
Buffalo,Week 1,8-Sep-24,vs Arizona,REG,W,34,28,L,-6.5,O,45.5,62,61,Mostly Cloudy,16,Yes,,,,,,,,
Buffalo,Week 2,12-Sep-24,@ Miami,REG,W,31,10,W,2.5,U,48.5,41,87,Clear,3,No,,,,,,,,
Buffalo,Week 3,23-Sep-24,vs Jacksonville,REG,W,47,10,W,-4.5,O,46.5,57,68,Mostly Cloudy,7,No,,,,,,,,
Buffalo,Week 4,29-Sep-24,@ Baltimore,REG,L,35,10,L,2.5,U,47.5,45,69,Cloudy,10,No,,,,,,,,
Buffalo,Week 5,6-Oct-24,@ Houston,REG,L,23,20,L,1,U,47.5,43,75,Clear,0,No,,,,,,,,
Buffalo,Week 6,14-Oct-24,@ NY Jets,REG,W,23,20,W,-1,O,42,43,48,Clear,14,No,,,,,,,,
Buffalo,Week 7,20-Oct-24,vs Tennessee,REG,W,34,10,W,-9.5,O,41,44,63,Clear,10,No,,,,,,,,
Buffalo,Week 8,27-Oct-24,@ Seattle,REG,W,31,10,W,-3,U,45,41,57,Partly Cloudy,14,No,,,,,,,,
Buffalo,Week 9,3-Nov-24,vs Miami,REG,W,30,27,L,-6,O,49,57,51,Partly Cloudy,6,No,,,,,,,,
Buffalo,Week 10,10-Nov-24,@ Indianapolis,REG,W,30,20,W,-4.5,O,47,50,75,Clear,0,No,,,,,,,,
Buffalo,Week 11,17-Nov-24,vs Kansas City,REG,W,30,21,W,-2.5,O,47,51,51,Overcast,0,No,,,,,,,,
Buffalo,Week 13,1-Dec-24,vs San Francisco,REG,W,35,10,W,-6.5,U,45.5,45,31,Mostly Cloudy,14,Yes,,,,,,,,
Buffalo,Week 14,8-Dec-24,@ LA Rams,REG,L,44,42,L,-3.5,O,50.5,86,75,Clear,0,No,,,,,,,,
Buffalo,Week 15,15-Dec-24,@ Detroit,REG,W,48,42,W,2.5,O,55.5,90,75,Clear,0,No,,,,,,,,
Buffalo,Week 16,22-Dec-24,vs New England,REG,W,24,21,L,-14,U,48,45,14,Clear,0,Yes,,,,,,,,
Buffalo,Week 17,29-Dec-24,vs NY Jets,REG,W,40,14,W,-10,O,44.5,54,51,Rain,7,Yes,,,,,,,,
Buffalo,Week 18,5-Jan-25,@ New England,REG,L,23,16,L,-3,O,36.5,39,35,Overcast,15,Yes,,,,,,,,
New England,Week 1,8-Sep-24,@ Cincinnati,REG,W,16,10,W,7.5,U,41,26,63,Clear,3,No,,,,,,,,
New England,Week 2,15-Sep-24,vs Seattle,REG,L,23,20,P,3,O,39,43,75,Partly Cloudy,7,No,,,,,,,,
New England,Week 3,19-Sep-24,@ NY Jets,REG,L,24,3,L,6.5,U,39,27,79,Clear,3,No,,,,,,,,
New England,Week 4,29-Sep-24,@ San Francisco,REG,L,30,13,L,10.5,O,42,43,73,Clear,0,No,,,,,,,,
New England,Week 5,6-Oct-24,vs Miami,REG,L,15,10,L,2,U,37,25,64,Partly Cloudy,3,No,,,,,,,,
New England,Week 6,13-Oct-24,vs Houston,REG,L,41,21,L,6.5,O,39.5,62,48,Overcast,3,No,,,,,,,,
New England,Week 7,20-Oct-24,@ Jacksonville,REG,L,32,16,L,7,O,42.5,48,62,Rain,9,Yes,,,,,,,,
New England,Week 8,27-Oct-24,vs NY Jets,REG,W,25,22,W,7,O,41,47,54,Clear,9,No,,,,,,,,
New England,Week 9,3-Nov-24,@ Tennessee,REG,L,20,17,W,3.5,U,38.5,37,81,Mostly Cloudy,17,Yes,,,,,,,,
New England,Week 10,10-Nov-24,@ Chicago,REG,W,19,3,W,6.5,U,37.5,22,60,Mostly Cloudy,13,No,,,,,,,,
New England,Week 11,17-Nov-24,vs LA Rams,REG,L,28,22,L,4,O,42.5,50,62,Clear,13,No,,,,,,,,
New England,Week 12,24-Nov-24,@ Miami,REG,L,34,15,L,7.5,O,45.5,49,77,Clear,7,No,,,,,,,,
New England,Week 13,1-Dec-24,vs Indianapolis,REG,L,25,24,W,2.5,O,41,49,37,Clear,9,Yes,,,,,,,,
New England,Week 15,15-Dec-24,@ Arizona,REG,L,30,17,L,6,O,46.5,47,75,Clear,0,No,,,,,,,,
New England,Week 16,22-Dec-24,@ Buffalo,REG,L,24,21,W,14,U,48,45,14,Clear,0,Yes,,,,,,,,
New England,Week 17,28-Dec-24,vs LA Chargers,REG,L,40,7,L,6,O,41.5,47,43,Cloudy,5,No,,,,,,,,
New England,Week 18,5-Jan-25,vs Buffalo,REG,W,23,16,W,3,O,36.5,39,35,Overcast,15,Yes,,,,,,,,
New York,Week 1,9-Sep-24,@ San Francisco,REG,L,32,19,L,3.5,O,43.5,51,77,Clear,13,No,,,,,,,,
New York,Week 2,15-Sep-24,@ Tennessee,REG,W,24,17,W,-4,P,41,41,81,Clear,9,No,,,,,,,,
