"","alpha","delta","XG","XGA"
"Arsenal",0.287446034608365,0.651059315157084,1.76668572772675,0.691148875788334
"Aston Villa",0.145942980069412,-0.0334945682066566,1.53357600521037,1.37047014802374
"Bournemouth",0.0015690788353384,0.00704767832711029,1.32740826124342,1.3160194444022
"Brentford",0.0553266981578027,-0.101518900828894,1.40071943204257,1.4669393967983
"Brighton",0.038569534031649,-0.0287739369019353,1.377442915502,1.36401590976608
"Chelsea",0.268329379699954,0.00498028623496944,1.73323337364025,1.31874298693975
"Crystal Palace",-0.0662014177738846,0.0666920940344075,1.24042972094122,1.2398212208248
"Everton",-0.33405529768338,0.166731466839073,0.948952996426824,1.12179246329225
"Fulham",-0.0368389988786244,0.058860071987453,1.27739172947328,1.24956965309767
"Ipswich",-0.367302653626332,-0.311035829985992,0.917921533850131,1.80885693198432
"Leicester",-0.527548907961266,-0.363039825363562,0.782008537123592,1.90541362666108
"Liverpool",0.445074785972086,0.380025020873114,2.0683145994607,0.906317371717936
"Man City",0.41843124251376,0.312007857168809,2.01393501877456,0.970107323650896
"Man United",-0.0624818843990764,0.0202308246986785,1.24505213196418,1.29878402558226
"Newcastle",0.244691213868188,0.00815852201273273,1.69274335594772,1.31455836417834
"Nott'm Forest",0.00171861427859664,0.0231957514409191,1.32760677066788,1.29493892912386
"Southampton",-0.687333346139913,-0.427133209634289,0.666527380199861,2.03153668859424
"Tottenham",0.281272499244918,-0.0606388429935719,1.75581262817625,1.40818005495039
"West Ham",-0.078418458862781,-0.180927049690182,1.22536753508744,1.58817623548681
"Wolves",-0.0281910959548117,-0.192426725169269,1.28848639278719,1.60654516272054
