issue,public_access_level,category,department,codebook_version,request_type_id,count_as_of_mid2024,definition
911 Performance,Neighborhood,,,2024,71781,557,
"ADA Ramp, Installation",Block Level,,,2024,817,252,
Abandoned Vehicle,Neighborhood,Parking,Police - AVU,2024,160747,684,
Abandoned Vehicle (DO NOT USE),Neighborhood,Parking,Police - AVU,2024,160747,9,
Abandoned Vehicle (parked on street),Neighborhood,Parking,Police - AVU,2015,415,21401,
Accessibility Construction Issue,Block Level,Construction Issues,"Permits, Licenses and Inspections",2015,33743,148,
Accessible Parking Application,Block Level,,,2024,823,114,
"Accessible Parking Signs, Removal ",Block Level,,,2024,551,180,
Alarm Permit,Neighborhood,Permits,Finance,2015,434,48,Permit for security alarm system.
Amenities,Block Level,,,2024,336958,1,
Americans with Disabilities,Block Level,Accessibility,City Planning - Disabilities,2015,353,792,
Amusement Tax,N/A,Taxes,Finance,2015,14564,26,
Angle Iron,Block Level,,,2024,515881,206,
Animal Waste,Neighborhood,Animal Issues,Animal Care & Control,2015,361,1157,
Ballfield,Block Level,,,2024,544,67,
Barking Dog,Neighborhood,Animal Issues,Animal Care & Control,2015,272,1822,
Barricades,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,8522,1434,
Basketball Hoop,Block Level,Road/Street Issues,DPW - Permits,2015,3598,165,
Benefits,N/A,Personnel (City),Human Resources and Civil Service Commission,2015,12072,118,
Bicycle Parking,Block Level,,,2024,175753,221,
Bicycle/Pedestrian Concerns,Block Level,,,2024,34445,1204,
Bicycle/Pedestrian/Trail - Network Improvements,Block Level,,,2024,321704,3,
Bike Lane Bollard,Block Level,Pedestrian/Bicycle Concerns,DPW - Construction Division,2015,542,898,
Bike Trail Maintenance,Block Level,Pedestrian/Bicycle Concerns,DPW - Street Maintenance,2015,,,
Billing,N/A,Business Issues,Finance,2015,369,3,
Blocked or Closed Sidewalks,Neighborhood,,,2024,5659,5046,
Blocked or Closed Trails,Block Level,,,2024,396136,336,
Blue Bin Containers,Neighborhood,,,2024,475156,5367,
Board Up (City-owned property only),Block Level,,,2024,16227,965,
Boat/Trailer on Street,Neighborhood,Parking,Police - Zones 1-6,2015,416,1315,
Bollard Repair/Maintenance,Block Level,Construction Issues,DPW - Construction Division,2015,,,
Brick or Block Repair,Block Level,Road/Street Issues,DPW - Construction Division,2024,459,540,
Brick/block or concrete slab repair,Block Level,Road/Street Issues,DPW - Construction Division,2015,,,
Bridge Maintenance,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,24077,397,
