PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,b,1941,0,0.04917,0.04727,0.18,100000,4727,96145,6395687,63.96
USA,b,1941,1,0.00557,0.00556,0.5,95273,530,95008,6299542,66.12
USA,b,1941,2,0.00279,0.00279,0.5,94743,264,94611,6204534,65.49
USA,b,1941,3,0.00183,0.00183,0.5,94479,173,94393,6109923,64.67
USA,b,1941,4,0.00140,0.00140,0.5,94306,132,94240,6015531,63.79
USA,b,1941,5,0.00120,0.00120,0.5,94175,113,94118,5921290,62.88
USA,b,1941,6,0.00109,0.00109,0.5,94062,103,94010,5827172,61.95
USA,b,1941,7,0.00102,0.00102,0.5,93959,96,93911,5733162,61.02
USA,b,1941,8,0.00095,0.00095,0.5,93863,89,93819,5639251,60.08
USA,b,1941,9,0.00087,0.00087,0.5,93774,82,93733,5545432,59.14
USA,b,1941,10,0.00083,0.00083,0.5,93693,78,93654,5451699,58.19
USA,b,1941,11,0.00084,0.00084,0.5,93615,79,93575,5358045,57.24
USA,b,1941,12,0.00091,0.00091,0.5,93536,85,93493,5264470,56.28
USA,b,1941,13,0.00101,0.00101,0.5,93451,94,93403,5170976,55.33
USA,b,1941,14,0.00116,0.00116,0.5,93356,108,93302,5077573,54.39
USA,b,1941,15,0.00137,0.00137,0.5,93248,128,93184,4984271,53.45
USA,b,1941,16,0.00155,0.00155,0.5,93120,144,93048,4891087,52.52
USA,b,1941,17,0.00170,0.00170,0.5,92976,158,92896,4798039,51.61
USA,b,1941,18,0.00186,0.00186,0.5,92817,172,92731,4705143,50.69
USA,b,1941,19,0.00195,0.00195,0.5,92645,181,92554,4612412,49.79
USA,b,1941,20,0.00207,0.00207,0.5,92464,192,92368,4519858,48.88
USA,b,1941,21,0.00224,0.00223,0.5,92273,206,92170,4427489,47.98
USA,b,1941,22,0.00234,0.00234,0.5,92067,215,91959,4335320,47.09
USA,b,1941,23,0.00244,0.00244,0.5,91851,224,91739,4243361,46.20
USA,b,1941,24,0.00251,0.00250,0.5,91627,229,91513,4151621,45.31
USA,b,1941,25,0.00253,0.00253,0.5,91398,231,91283,4060109,44.42
USA,b,1941,26,0.00254,0.00253,0.5,91167,231,91052,3968826,43.53
USA,b,1941,27,0.00260,0.00260,0.5,90936,237,90818,3877775,42.64
USA,b,1941,28,0.00272,0.00271,0.5,90700,246,90577,3786957,41.75
USA,b,1941,29,0.00279,0.00278,0.5,90453,252,90328,3696380,40.86
USA,b,1941,30,0.00287,0.00286,0.5,90202,258,90073,3606052,39.98
USA,b,1941,31,0.00294,0.00293,0.5,89944,264,89812,3515980,39.09
USA,b,1941,32,0.00319,0.00318,0.5,89680,285,89537,3426168,38.20
USA,b,1941,33,0.00340,0.00339,0.5,89395,303,89243,3336631,37.32
USA,b,1941,34,0.00354,0.00354,0.5,89092,315,88934,3247387,36.45
USA,b,1941,35,0.00380,0.00379,0.5,88776,336,88608,3158453,35.58
USA,b,1941,36,0.00387,0.00386,0.5,88440,341,88269,3069845,34.71
USA,b,1941,37,0.00418,0.00417,0.5,88099,367,87915,2981576,33.84
USA,b,1941,38,0.00466,0.00465,0.5,87731,408,87527,2893661,32.98
USA,b,1941,39,0.00483,0.00482,0.5,87323,421,87113,2806133,32.13
USA,b,1941,40,0.00485,0.00484,0.5,86903,420,86693,2719020,31.29
USA,b,1941,41,0.00503,0.00502,0.5,86482,434,86266,2632328,30.44
USA,b,1941,42,0.00596,0.00594,0.5,86049,511,85793,2546062,29.59
USA,b,1941,43,0.00658,0.00656,0.5,85537,561,85257,2460269,28.76
