PARID,MUNICIPALITY,LOCATION,SALE DATE,RECORDED DATE
2275K00272000000,Forward  ,0 RIVER HILL RD MONONGAHELA PA 15063,6/12/2015,7/2/2015
2275L00160000000,Forward  ,0 RIVER HILL RD MONONGAHELA PA 15063,6/12/2015,7/2/2015
2276S00078000000,Forward  ,13 EDSEL LN MONONGAHELA PA 15063,8/5/2015,8/19/2015
2369H00006000000,Marshall  ,211 QUAIL CT BADEN PA 15005,7/31/2015,8/10/2015
2369H00018000000,Marshall  ,218 QUAIL CT BADEN PA 15005,6/25/2015,7/7/2015
2369S00003000000,Marshall  ,220 WILDFLOWER LN MARS PA 16046,3/16/2015,3/31/2015
2369S00004000000,Marshall  ,0 WILDFLOWER LN MARS PA 16046,3/16/2015,3/31/2015
2370E00007000000,Marshall  ,2015 BUCKINGHAM DR MARS PA 16046,2/12/2015,3/6/2015
2370G00003000000,Marshall  ,127 WESTMINSTER DR MARS PA 16046,5/8/2015,5/15/2015
2370G00012000000,Marshall  ,109 WESTMINSTER DR MARS PA 16046,7/24/2015,7/28/2015
2370H00004000000,Marshall  ,131 WESTMINSTER DR MARS PA 16046,7/30/2015,8/12/2015
2370K00003000000,Marshall  ,104 SEWICKLEY FARM CIR MARS PA 16046,3/10/2015,3/19/2015
2370P00002000000,Marshall  ,109 SEWICKLEY FARM CIR MARS PA 16046,12/21/2015,12/29/2015
2370P00004000000,Marshall  ,113 SEWICKLEY FARM CIR MARS PA 16046,7/22/2015,8/4/2015
2187D00214000100,Richland  ,4108 WINDFALL LN GIBSONIA PA 15044,1/23/2015,1/28/2015
2187M00057000000,Richland  ,4161 BAKERSTOWN RD GIBSONIA PA 15044,7/2/2015,7/13/2015
2187M00065000000,Richland  ,0 BAKERSTOWN RD GIBSONIA PA 15044,7/2/2015,7/13/2015
2188D00202000000,Richland  ,0 MIDDLESEX ST GIBSONIA PA 15044,10/16/2015,10/16/2015
2188D00206000000,Richland  ,0 MIDDLESEX ST GIBSONIA PA 15044,10/16/2015,10/16/2015
2188D00224000000,Richland  ,0 VALLEY OAK AVE VALENCIA PA 16059,10/16/2015,10/16/2015
2188G00167000000,Richland  ,5848 VALENCIA RD GIBSONIA PA 15044,8/27/2015,11/10/2015
2188L00281000000,Richland  ,5831 VALENCIA RD GIBSONIA PA 15044,8/28/2015,2/12/2016
2188L00285000000,Richland  ,5831 VALENCIA RD GIBSONIA PA 15044,8/28/2015,2/12/2016
2188L00289000000,Richland  ,5825 VALENCIA RD GIBSONIA PA 15044,10/22/2015,11/12/2015
2188L00291000000,Richland  ,0 VALENCIA RD VALENCIA PA 16059,10/22/2015,11/12/2015
2188P00147000000,Richland  ,4109 BAKERSTOWN RD GIBSONIA PA 15044,1/2/2015,1/6/2015
2188S00180000000,Richland  ,5506 GRUBBS RD GIBSONIA PA 15044,9/9/2015,9/23/2015
2189M00117000000,Richland  ,3836 KIM LN GIBSONIA PA 15044,12/14/2015,12/18/2015
2189M00154000000,Richland  ,3820 KIM LN GIBSONIA PA 15044,8/19/2015,8/25/2015
2189M00219000000,Richland  ,3825 KIM LN GIBSONIA PA 15044,7/16/2015,7/21/2015
2189M00271000000,Richland  ,3841 KIM LN GIBSONIA PA 15044,7/1/2015,7/21/2015
2189N00089000000,Richland  ,3917 BAKERSTOWN RD GIBSONIA PA 15044,7/10/2015,7/15/2015
2190D00260000000,Richland  ,6019 CUNNINGHAM RD GIBSONIA PA 15044,10/8/2015,10/19/2015
2190F00030000000,Richland  ,0 WILLOW CREEK DR GIBSONIA PA 15044,4/21/2015,4/24/2015
2190G00008000000,Richland  ,505 KYLE CT GIBSONIA PA 15044,5/29/2015,6/2/2015
2190G00012000000,Richland  ,509 KYLE CT GIBSONIA PA 15044,10/6/2015,10/13/2015
2190G00026000000,Richland  ,510 KYLE CT GIBSONIA PA 15044,12/8/2015,3/2/2016
2190H00025000000,Richland  ,6080 WILLIAM FLYNN HWY GIBSONIA PA 15044,10/16/2015,10/28/2015
2190H00047000000,Richland  ,6098 WILLIAM FLYNN HWY GIBSONIA PA 15044,2/19/2015,3/3/2015
2190J00125000000,Richland  ,3868 KIM LN GIBSONIA PA 15044,7/18/2015,7/24/2015
2190J00136000000,Richland  ,3864 KIM LN GIBSONIA PA 15044,9/29/2015,8/1/2016
2190J00175000000,Richland  ,3848 KIM LN GIBSONIA PA 15044,10/6/2015,2/22/2016
2190J00175000000,Richland  ,3848 KIM LN GIBSONIA PA 15044,12/18/2015,2/22/2016
2190J00257000000,Richland  ,3869 KIM LN GIBSONIA PA 15044,10/15/2015,11/23/2015
2190K00008000000,Richland  ,1016 JAMES LN GIBSONIA PA 15044,5/29/2015,7/1/2015
2190K00008000000,Richland  ,1016 JAMES LN GIBSONIA PA 15044,6/3/2015,7/1/2015
2190K00012000000,Richland  ,1008 JAMES LN GIBSONIA PA 15044,12/7/2015,12/17/2015
2190L00030000000,Richland  ,3996 WILLOW CREEK DR GIBSONIA PA 15044,8/18/2015,9/1/2015
2190L00042000000,Richland  ,104 BELLEFIELD CT GIBSONIA PA 15044,12/15/2015,12/21/2015
2190L00058000000,Richland  ,237 COREY DR GIBSONIA PA 15044,11/6/2015,11/10/2015
2190M00143000000,Richland  ,114 BELLEFIELD CT GIBSONIA PA 15044,6/29/2015,7/7/2015
2190M00143000000,Richland  ,114 BELLEFIELD CT GIBSONIA PA 15044,10/28/2015,11/5/2015
2190M00145000000,Richland  ,120 BELLEFIELD CT GIBSONIA PA 15044,12/4/2015,12/4/2015
2190M00153000000,Richland  ,140 BELLEFIELD CT GIBSONIA PA 15044,6/25/2015,6/30/2015
2190M00156000000,Richland  ,135 BELLEFIELD CT GIBSONIA PA 15044,4/17/2015,4/21/2015
2190M00162000000,Richland  ,121 BELLEFIELD CT GIBSONIA PA 15044,7/2/2015,7/7/2015
2190M00164000000,Richland  ,117 BELLEFIELD CT GIBSONIA PA 15044,3/31/2015,4/2/2015
2190M00168000000,Richland  ,240 COREY DR GIBSONIA PA 15044,3/30/2015,4/2/2015
2190M00169000000,Richland  ,242 COREY DR GIBSONIA PA 15044,2/13/2015,2/17/2015
2190M00172000000,Richland  ,250 COREY DR GIBSONIA PA 15044,8/31/2015,9/10/2015
2190M00185000000,Richland  ,261 COREY DR GIBSONIA PA 15044,5/4/2015,5/14/2015
2190M00185000000,Richland  ,261 COREY DR GIBSONIA PA 15044,5/28/2015,6/16/2015
2190M00195000000,Richland  ,239 COREY DR GIBSONIA PA 15044,12/14/2015,12/16/2015
2190P00016000000,Richland  ,833 FAIRWINDS DR GIBSONIA PA 15044,2/5/2015,3/12/2015
2190S00147000000,Richland  ,6044 WILLIAM FLYNN HWY GIBSONIA PA 15044,2/27/2015,3/2/2015
2190S00272000000,Richland  ,5969 WILLIAM FLYNN HWY GIBSONIA PA 15044,12/22/2015,12/29/2015
2191B00002000000,Richland  ,726 PACKSADDLE TRL GIBSONIA PA 15044,7/16/2015,7/24/2015
2191B00002000000,Richland  ,726 PACKSADDLE TRL GIBSONIA PA 15044,10/10/2015,11/16/2015
2191B00004000000,Richland  ,728 PACKSADDLE TRL GIBSONIA PA 15044,4/15/2015,4/20/2015
2191B00004000000,Richland  ,728 PACKSADDLE TRL GIBSONIA PA 15044,7/21/2015,8/12/2015
2191B00006000000,Richland  ,730 PACKSADDLE TRL GIBSONIA PA 15044,7/16/2015,7/17/2015
2191B00006000000,Richland  ,730 PACKSADDLE TRL GIBSONIA PA 15044,11/4/2015,11/9/2015
2191B00010000000,Richland  ,734 PACKSADDLE TRL GIBSONIA PA 15044,10/29/2015,11/4/2015
2191B00012000000,Richland  ,744 PACKSADDLE TRL GIBSONIA PA 15044,12/18/2015,12/31/2015
2191B00016000000,Richland  ,745 PACKSADDLE TRL GIBSONIA PA 15044,11/24/2015,12/1/2015
2191B00024000000,Richland  ,737 PACKSADDLE TRL GIBSONIA PA 15044,7/29/2015,8/11/2015
2191B00024000000,Richland  ,737 PACKSADDLE TRL GIBSONIA PA 15044,11/11/2015,11/24/2015
2191B00026000000,Richland  ,735 PACKSADDLE TRL GIBSONIA PA 15044,6/17/2015,6/19/2015
2191B00026000000,Richland  ,735 PACKSADDLE TRL GIBSONIA PA 15044,9/28/2015,10/2/2015
2191B00028000000,Richland  ,733 PACKSADDLE TRL GIBSONIA PA 15044,5/13/2015,5/18/2015
2191B00028000000,Richland  ,733 PACKSADDLE TRL GIBSONIA PA 15044,8/19/2015,8/25/2015
2191B00030000000,Richland  ,731 PACKSADDLE TRL GIBSONIA PA 15044,6/4/2015,6/5/2015
2191B00030000000,Richland  ,731 PACKSADDLE TRL GIBSONIA PA 15044,9/10/2015,9/14/2015
2191B00032000000,Richland  ,729 PACKSADDLE TRL GIBSONIA PA 15044,6/4/2015,6/5/2015
2191B00032000000,Richland  ,729 PACKSADDLE TRL GIBSONIA PA 15044,9/22/2015,9/29/2015
2191B00034000000,Richland  ,727 PACKSADDLE TRL GIBSONIA PA 15044,6/30/2015,7/6/2015
2191B00034000000,Richland  ,727 PACKSADDLE TRL GIBSONIA PA 15044,10/16/2015,10/20/2015
2191B00036000000,Richland  ,725 PACKSADDLE TRL GIBSONIA PA 15044,7/29/2015,7/31/2015
2191B00036000000,Richland  ,725 PACKSADDLE TRL GIBSONIA PA 15044,11/16/2015,11/17/2015
2191C00003000000,Richland  ,746 PACKSADDLE TRL GIBSONIA PA 15044,9/15/2015,9/22/2015
2191F00092000000,Richland  ,0 PACKSADDLE TRL GIBSONIA PA 15044,5/29/2015,7/1/2015
2191F00096000000,Richland  ,723 PACKSADDLE TRL GIBSONIA PA 15044,6/24/2015,6/26/2015
2191F00096000000,Richland  ,723 PACKSADDLE TRL GIBSONIA PA 15044,10/5/2015,10/9/2015
2191F00248000000,Richland  ,6069 MORROW RD GIBSONIA PA 15044,8/14/2015,9/3/2015
2191G00023000000,Richland  ,702 PACKSADDLE TRL GIBSONIA PA 15044,2/4/2015,2/6/2015
2191G00023000000,Richland  ,702 PACKSADDLE TRL GIBSONIA PA 15044,5/22/2015,5/28/2015
2191G00025000000,Richland  ,704 PACKSADDLE TRL GIBSONIA PA 15044,2/6/2015,2/13/2015
2191G00027000000,Richland  ,706 PACKSADDLE TRL GIBSONIA PA 15044,2/4/2015,2/9/2015
2191G00033000000,Richland  ,712 PACKSADDLE TRL GIBSONIA PA 15044,2/18/2015,2/20/2015
2191G00033000000,Richland  ,712 PACKSADDLE TRL GIBSONIA PA 15044,6/4/2015,6/9/2015
2191G00035000000,Richland  ,714 PACKSADDLE TRL GIBSONIA PA 15044,7/8/2015,7/10/2015
2191G00035000000,Richland  ,714 PACKSADDLE TRL GIBSONIA PA 15044,10/5/2015,10/14/2015
2191G00037000000,Richland  ,716 PACKSADDLE TRL GIBSONIA PA 15044,1/14/2015,1/26/2015
2191J00001000000,Richland  ,6102 HECKERT RD GIBSONIA PA 15044,5/28/2015,5/29/2015
2191K00078000000,Richland  ,275 ESTATES DR GIBSONIA PA 15044,5/28/2015,6/1/2015
2191K00078000000,Richland  ,275 ESTATES DR GIBSONIA PA 15044,8/27/2015,9/2/2015
2191K00080000000,Richland  ,277 ESTATES DR GIBSONIA PA 15044,4/21/2015,4/24/2015
2191K00080000000,Richland  ,277 ESTATES DR GIBSONIA PA 15044,7/29/2015,7/31/2015
2191K00086000000,Richland  ,283 ESTATES DR GIBSONIA PA 15044,5/29/2015,7/1/2015
2191K00090000000,Richland  ,287 ESTATES DR GIBSONIA PA 15044,1/5/2015,1/8/2015
