t,year,Namerica,,Europe,,Total
1,2014,26,,14,,46
2,2014,30,,18,,57
3,2014,32,,20,,62
4,2014,35,,23,,71
5,2015,38,,27,,80
6,2015,40,,29,,86
7,2015,44,,30,,94
8,2015,48,,34,,107
9,2016,64,,39,,122
10,2016,61,,46,,143
11,2016,65,,49,,153
12,2016,68,,52,,158
13,2017,71,,55,,166
14,2017,75,,57,,173
15,2017,77,,57,,178
16,2017,80,,60,,187
17,2018,81,,62,,191
18,2018,80,,61,,188
19,2018,79,,59,,186
20,2018,79,,60,,186
21,2019,80,,61,,190
22,2019,83,,64,,203
23,2019,84,,65,,210
24,2019,86,,67,,218
25,2020,88,,70,,229
26,2020,90,,71,,238
27,2020,90,,72,,249
28,2020,92,,74,,265
29,2021,93,,77,,280
30,2021,95,,78,,293
31,2021,96,,80,,306
32,2021,97,,82,,319
33,2022,98,,84,,332
34,2022,99,,86,,347
35,2022,100,,88,,363
36,2022,100,,92,,375
37,2023,100,,93,,383
38,2023,101,,94,,397
39,2023,101,,95,,406
40,2023,100,,96,,414
