t,q,year,Namerica,Europe,Total
1,1,2014,26,14,46
2,2,2014,30,18,57
3,3,2014,32,20,62
4,4,2014,35,23,71
5,1,2015,38,27,80
6,2,2015,40,29,86
7,3,2015,44,30,94
8,4,2015,48,34,107
9,1,2016,64,39,122
10,2,2016,61,46,143
11,3,2016,65,49,153
12,4,2016,68,52,158
13,1,2017,71,55,166
14,2,2017,75,57,173
15,3,2017,77,57,178
16,4,2017,80,60,187
17,1,2018,81,62,191
18,2,2018,80,61,188
19,3,2018,79,59,186
20,4,2018,79,60,186
21,1,2019,80,61,190
22,2,2019,83,64,203
23,3,2019,84,65,210
24,4,2019,86,67,218
25,1,2020,88,70,229
26,2,2020,90,71,238
27,3,2020,90,72,249
28,4,2020,92,74,265
29,1,2021,93,77,280
30,2,2021,95,78,293
31,3,2021,96,80,306
32,4,2021,97,82,319
33,1,2022,98,84,332
34,2,2022,99,86,347
35,3,2022,100,88,363
36,4,2022,100,92,375
37,1,2023,100,93,383
38,2,2023,101,94,397
39,3,2023,101,95,406
40,4,2023,100,96,414
