state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1,0.4405,0.5432,0.5509,0.2546,0.5505,0.2467,0.1631,0.242,0.3325,0.2623,0.2105,0.6464,0.6097,0.2757,0.6151,0.6835,0.62,0.3035,0.2397,0.2273,0.5067,0.5071,0.596,0.5805,0.329,0.6436,0.473,0.644,0.5656,0.4782,0.2237,0.3684,0.3821,0.2249,0.5353,0.6365,0.5713,0.4935,0.3382,0.395,0.6542,0.5156,0.4215,0.5663,0.307,0.401,0.5292,0.5815,0.5786,0.6387
AL,0.4405,1,0.6996,0.2817,0.2606,0.3165,0.2262,0.1425,0.439,0.4406,0.6888,0.2333,0.6127,0.5063,0.2378,0.6622,0.6359,0.6934,0.6981,0.2223,0.2285,0.5085,0.626,0.5394,0.6838,0.7139,0.6026,0.7882,0.5659,0.4892,0.4474,0.2405,0.2422,0.2567,0.2325,0.6404,0.639,0.443,0.5633,0.2254,0.7922,0.5793,0.699,0.2684,0.2984,0.5293,0.3453,0.3009,0.569,0.6524,0.5903
AR,0.5432,0.6996,1,0.3198,0.2286,0.3913,0.1921,0.1209,0.3775,0.3991,0.5615,0.2084,0.6427,0.5492,0.2432,0.6791,0.6818,0.7097,0.5862,0.1934,0.1982,0.5103,0.6063,0.5704,0.6815,0.6022,0.629,0.725,0.6091,0.5146,0.452,0.2168,0.2206,0.2382,0.213,0.6287,0.672,0.4963,0.5544,0.2369,0.6968,0.6309,0.6967,0.2417,0.3569,0.4727,0.3557,0.3626,0.5871,0.6641,0.6289
AZ,0.5509,0.2817,0.3198,1,0.5821,0.6135,0.5013,0.157,0.3678,0.6296,0.2733,0.4339,0.5191,0.483,0.5608,0.4784,0.4613,0.4272,0.2634,0.4927,0.2439,0.4895,0.5343,0.5379,0.4477,0.2596,0.484,0.3209,0.4254,0.4707,0.4923,0.5452,0.5809,0.7977,0.5315,0.5304,0.414,0.5649,0.5754,0.5556,0.2906,0.4343,0.3309,0.6061,0.5412,0.3352,0.3798,0.6547,0.5645,0.4244,0.4243
CA,0.2546,0.2606,0.2286,0.5821,1,0.3138,0.2999,0.2261,0.2236,0.3753,0.2591,0.6476,0.2665,0.2199,0.35,0.2497,0.2594,0.2483,0.2364,0.3239,0.2215,0.2701,0.2781,0.2825,0.2544,0.2594,0.2617,0.2755,0.2386,0.2173,0.2722,0.504,0.6215,0.6119,0.5215,0.2761,0.2341,0.243,0.2886,0.3027,0.2719,0.2338,0.2391,0.6016,0.2485,0.2511,0.2351,0.3287,0.2828,0.241,0.2346
CO,0.5505,0.3165,0.3913,0.6135,0.3138,1,0.524,0.1509,0.3301,0.4339,0.2676,0.2183,0.6325,0.5659,0.5303,0.5691,0.6471,0.5345,0.2424,0.5799,0.238,0.5707,0.5891,0.726,0.5773,0.254,0.6235,0.4148,0.5641,0.5853,0.625,0.4547,0.2707,0.4242,0.4173,0.6068,0.4794,0.6807,0.6448,0.5448,0.3094,0.5569,0.4373,0.3049,0.6256,0.5492,0.4812,0.7311,0.654,0.4929,0.5338
CT,0.2467,0.2262,0.1921,0.5013,0.2999,0.524,1,0.1036,0.5622,0.5766,0.2377,0.254,0.4615,0.323,0.6044,0.3364,0.3107,0.293,0.2128,0.708,0.4102,0.5933,0.5488,0.5388,0.3723,0.2168,0.4598,0.2926,0.3195,0.3729,0.6301,0.6218,0.2923,0.4536,0.5402,0.4993,0.1889,0.4905,0.6131,0.6411,0.2467,0.3328,0.2002,0.2446,0.3652,0.54990000000000006,0.5776,0.5877,0.5616,0.3262,0.3089
DC,0.1631,0.1425,0.1209,0.157,0.2261,0.1509,0.1036,1,0.1108,0.156,0.1554,0.1572,0.1597,0.1449,0.1342,0.1513,0.1565,0.1491,0.1479,0.1955,0.4695,0.1517,0.1565,0.1537,0.1507,0.1306,0.1608,0.1567,0.1401,0.1339,0.1492,0.2534,0.1282,0.1494,0.3034,0.15310000000000001,0.1336,0.1456,0.1552,0.0868,0.1549,0.1437,0.1401,0.1549,0.1552,0.1439,0.139,0.1361,0.1554,0.151,0.14
DE,0.242,0.439,0.3775,0.3678,0.2236,0.3301,0.5622,0.1108,1,0.6155,0.4779,0.1989,0.5565,0.3829,0.5824,0.4971,0.3906,0.4585,0.4724,0.4828,0.4506,0.6092,0.6859,0.5528,0.527,0.3821,0.5085,0.5396,0.3917,0.4175,0.5878,0.4303,0.22,0.3877,0.4102,0.6361,0.2617,0.4574,0.6832,0.5321,0.5268,0.4104,0.3987,0.2419,0.3118,0.6445,0.5448,0.4373,0.6252,0.4669,0.3823
FL,0.3325,0.4406,0.3991,0.6296,0.3753,0.4339,0.5766,0.156,0.6155,1,0.3904,0.3171,0.5318,0.4224,0.5959,0.5103,0.4283,0.4829,0.3868,0.4791,0.374,0.6084,0.6779,0.5408,0.5235,0.3388,0.5274,0.5214,0.3741,0.4321,0.5918,0.5749,0.4173,0.6441,0.5271,0.6388,0.3874,0.57,0.7254,0.565,0.4979,0.418,0.4338,0.351,0.2901,0.548,0.4567,0.5401,0.6254,0.5166,0.419
