PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,f,1941,0,0.04318,0.04170,0.17,100000,4170,96556,6639911,66.40
USA,f,1941,1,0.00525,0.00524,0.5,95830,502,95579,6543356,68.28
USA,f,1941,2,0.00252,0.00252,0.5,95328,240,95208,6447776,67.64
USA,f,1941,3,0.00171,0.00171,0.5,95088,163,95007,6352568,66.81
USA,f,1941,4,0.00130,0.00130,0.5,94925,123,94864,6257561,65.92
USA,f,1941,5,0.00109,0.00108,0.5,94802,103,94751,6162697,65.01
USA,f,1941,6,0.00096,0.00096,0.5,94700,91,94654,6067946,64.08
USA,f,1941,7,0.00088,0.00088,0.5,94608,83,94567,5973292,63.14
USA,f,1941,8,0.00080,0.00080,0.5,94525,75,94487,5878725,62.19
USA,f,1941,9,0.00072,0.00072,0.5,94450,68,94416,5784238,61.24
USA,f,1941,10,0.00068,0.00068,0.5,94382,64,94350,5689822,60.29
USA,f,1941,11,0.00069,0.00069,0.5,94317,65,94285,5595473,59.33
USA,f,1941,12,0.00075,0.00075,0.5,94253,70,94217,5501188,58.37
USA,f,1941,13,0.00084,0.00084,0.5,94182,79,94143,5406970,57.41
USA,f,1941,14,0.00098,0.00098,0.5,94103,92,94057,5312827,56.46
USA,f,1941,15,0.00116,0.00116,0.5,94012,109,93957,5218770,55.51
USA,f,1941,16,0.00132,0.00132,0.5,93902,124,93840,5124813,54.58
USA,f,1941,17,0.00145,0.00145,0.5,93778,136,93710,5030973,53.65
USA,f,1941,18,0.00159,0.00159,0.5,93642,149,93568,4937263,52.72
USA,f,1941,19,0.00166,0.00166,0.5,93493,155,93416,4843695,51.81
USA,f,1941,20,0.00175,0.00175,0.5,93338,164,93256,4750280,50.89
USA,f,1941,21,0.00188,0.00188,0.5,93175,175,93087,4657023,49.98
USA,f,1941,22,0.00198,0.00197,0.5,92999,184,92908,4563936,49.07
USA,f,1941,23,0.00208,0.00207,0.5,92816,192,92720,4471029,48.17
USA,f,1941,24,0.00213,0.00213,0.5,92623,197,92525,4378309,47.27
USA,f,1941,25,0.00218,0.00217,0.5,92426,201,92326,4285784,46.37
USA,f,1941,26,0.00219,0.00219,0.5,92225,202,92124,4193459,45.47
USA,f,1941,27,0.00226,0.00226,0.5,92023,208,91919,4101335,44.57
USA,f,1941,28,0.00239,0.00239,0.5,91815,219,91705,4009416,43.67
USA,f,1941,29,0.00246,0.00246,0.5,91596,225,91483,3917710,42.77
USA,f,1941,30,0.00254,0.00254,0.5,91370,232,91255,3826227,41.88
USA,f,1941,31,0.00260,0.00260,0.5,91139,237,91020,3734973,40.98
USA,f,1941,32,0.00282,0.00282,0.5,90902,256,90774,3643952,40.09
USA,f,1941,33,0.00301,0.00300,0.5,90645,272,90509,3553179,39.20
USA,f,1941,34,0.00311,0.00311,0.5,90373,281,90233,3462669,38.32
USA,f,1941,35,0.00332,0.00331,0.5,90093,298,89943,3372436,37.43
USA,f,1941,36,0.00335,0.00335,0.5,89794,301,89644,3282493,36.56
USA,f,1941,37,0.00359,0.00359,0.5,89494,321,89333,3192849,35.68
