PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,m,1941,0,0.05490,0.05257,0.19,100000,5257,95754,6177771,61.78
USA,m,1941,1,0.00589,0.00587,0.5,94743,556,94465,6082017,64.19
USA,m,1941,2,0.00306,0.00305,0.5,94187,287,94043,5987552,63.57
USA,m,1941,3,0.00194,0.00194,0.5,93900,182,93809,5893508,62.76
USA,m,1941,4,0.00149,0.00149,0.5,93718,140,93648,5799700,61.88
USA,m,1941,5,0.00131,0.00131,0.5,93578,123,93517,5706052,60.98
USA,m,1941,6,0.00121,0.00121,0.5,93455,113,93398,5612535,60.06
USA,m,1941,7,0.00116,0.00116,0.5,93342,108,93288,5519137,59.13
USA,m,1941,8,0.00109,0.00109,0.5,93234,102,93183,5425849,58.20
USA,m,1941,9,0.00102,0.00102,0.5,93132,95,93084,5332666,57.26
USA,m,1941,10,0.00098,0.00098,0.5,93037,91,92991,5239582,56.32
USA,m,1941,11,0.00100,0.00100,0.5,92946,93,92900,5146591,55.37
USA,m,1941,12,0.00107,0.00107,0.5,92853,100,92804,5053691,54.43
USA,m,1941,13,0.00118,0.00118,0.5,92754,109,92699,4960887,53.48
USA,m,1941,14,0.00135,0.00134,0.5,92645,125,92582,4868188,52.55
USA,m,1941,15,0.00158,0.00158,0.5,92520,146,92447,4775606,51.62
USA,m,1941,16,0.00178,0.00178,0.5,92374,164,92292,4683159,50.70
USA,m,1941,17,0.00195,0.00195,0.5,92210,180,92120,4590866,49.79
USA,m,1941,18,0.00213,0.00213,0.5,92030,196,91932,4498747,48.88
USA,m,1941,19,0.00225,0.00225,0.5,91834,206,91731,4406814,47.99
USA,m,1941,20,0.00240,0.00240,0.5,91628,220,91518,4315083,47.09
USA,m,1941,21,0.00260,0.00260,0.5,91408,238,91290,4223565,46.21
USA,m,1941,22,0.00271,0.00271,0.5,91171,247,91047,4132275,45.32
USA,m,1941,23,0.00282,0.00282,0.5,90924,256,90796,4041228,44.45
USA,m,1941,24,0.00289,0.00289,0.5,90668,262,90537,3950432,43.57
USA,m,1941,25,0.00290,0.00289,0.5,90406,262,90275,3859896,42.70
USA,m,1941,26,0.00290,0.00289,0.5,90144,261,90014,3769621,41.82
USA,m,1941,27,0.00296,0.00296,0.5,89883,266,89750,3679607,40.94
USA,m,1941,28,0.00306,0.00305,0.5,89617,273,89481,3589857,40.06
USA,m,1941,29,0.00312,0.00311,0.5,89344,278,89205,3500376,39.18
USA,m,1941,30,0.00320,0.00320,0.5,89066,285,88923,3411172,38.30
USA,m,1941,31,0.00328,0.00328,0.5,88781,291,88636,3322248,37.42
USA,m,1941,32,0.00356,0.00355,0.5,88490,315,88333,3233612,36.54
USA,m,1941,33,0.00379,0.00379,0.5,88176,334,88009,3145280,35.67
USA,m,1941,34,0.00398,0.00397,0.5,87842,349,87667,3057271,34.80
USA,m,1941,35,0.00428,0.00427,0.5,87493,373,87306,2969604,33.94
USA,m,1941,36,0.00439,0.00438,0.5,87119,381,86929,2882298,33.08
USA,m,1941,37,0.00477,0.00476,0.5,86738,413,86531,2795369,32.23
USA,m,1941,38,0.00534,0.00533,0.5,86325,460,86095,2708838,31.38
USA,m,1941,39,0.00556,0.00555,0.5,85865,476,85627,2622743,30.54
USA,m,1941,40,0.00557,0.00555,0.5,85389,474,85152,2537116,29.71
USA,m,1941,41,0.00578,0.00576,0.5,84915,489,84670,2451964,28.88
USA,m,1941,42,0.00685,0.00683,0.5,84426,577,84137,2367293,28.04
USA,m,1941,43,0.00755,0.00753,0.5,83849,631,83534,2283156,27.23
USA,m,1941,44,0.00794,0.00791,0.5,83218,658,82889,2199622,26.43
USA,m,1941,45,0.00887,0.00883,0.5,82560,729,82196,2116733,25.64
USA,m,1941,46,0.00914,0.00910,0.5,81831,745,81458,2034538,24.86
USA,m,1941,47,0.00999,0.00994,0.5,81086,806,80683,1953079,24.09
USA,m,1941,48,0.01110,0.01104,0.5,80280,887,79837,1872396,23.32
USA,m,1941,49,0.01172,0.01165,0.5,79394,925,78931,1792559,22.58
USA,m,1941,50,0.01252,0.01244,0.5,78469,976,77981,1713628,21.84
USA,m,1941,51,0.01313,0.01304,0.5,77493,1011,76987,1635647,21.11
USA,m,1941,52,0.01488,0.01477,0.5,76482,1130,75917,1558660,20.38
USA,m,1941,53,0.01625,0.01612,0.5,75352,1215,74745,1482743,19.68
USA,m,1941,54,0.01709,0.01694,0.5,74138,1256,73510,1407998,18.99
USA,m,1941,55,0.01871,0.01853,0.5,72882,1351,72206,1334488,18.31
USA,m,1941,56,0.01953,0.01934,0.5,71531,1384,70839,1262282,17.65
USA,m,1941,57,0.02115,0.02093,0.5,70147,1468,69413,1191443,16.98
USA,m,1941,58,0.02342,0.02315,0.5,68679,1590,67884,1122029,16.34
USA,m,1941,59,0.02462,0.02432,0.5,67089,1631,66274,1054145,15.71
USA,m,1941,60,0.02576,0.02543,0.5,65458,1665,64625,987872,15.09
USA,m,1941,61,0.02721,0.02684,0.5,63793,1713,62937,923246,14.47
USA,m,1941,62,0.03173,0.03123,0.5,62081,1939,61111,860309,13.86
USA,m,1941,63,0.03523,0.03462,0.5,60141,2082,59100,799198,13.29
USA,m,1941,64,0.03527,0.03466,0.5,58059,2012,57053,740098,12.75
USA,m,1941,65,0.03712,0.03645,0.5,56047,2043,55026,683045,12.19
USA,m,1941,66,0.03815,0.03743,0.5,54004,2022,52994,628019,11.63
USA,m,1941,67,0.04374,0.04280,0.5,51983,2225,50870,575026,11.06
USA,m,1941,68,0.05027,0.04904,0.5,49758,2440,48538,524155,10.53
USA,m,1941,69,0.05269,0.05134,0.5,47318,2429,46103,475618,10.05
USA,m,1941,70,0.05638,0.05483,0.5,44889,2461,43658,429514,9.57
USA,m,1941,71,0.05916,0.05746,0.5,42427,2438,41208,385856,9.09
USA,m,1941,72,0.06773,0.06551,0.5,39989,2620,38680,344648,8.62
USA,m,1941,73,0.07456,0.07188,0.5,37370,2686,36027,305968,8.19
USA,m,1941,74,0.07636,0.07356,0.5,34683,2551,33408,269942,7.78
USA,m,1941,75,0.08276,0.07948,0.5,32132,2554,30855,236534,7.36
USA,m,1941,76,0.08676,0.08315,0.5,29579,2459,28349,205679,6.95
USA,m,1941,77,0.09681,0.09234,0.5,27119,2504,25867,177330,6.54
USA,m,1941,78,0.11649,0.11008,0.5,24615,2710,23260,151463,6.15
USA,m,1941,79,0.12080,0.11392,0.5,21905,2496,20657,128203,5.85
USA,m,1941,80,0.12599,0.11853,0.5,19410,2301,18259,107545,5.54
USA,m,1941,81,0.13842,0.12946,0.5,17109,2215,16002,89286,5.22
USA,m,1941,82,0.15192,0.14120,0.5,14894,2103,13843,73284,4.92
USA,m,1941,83,0.16622,0.15347,0.5,12791,1963,11810,59442,4.65
USA,m,1941,84,0.18045,0.16552,0.5,10828,1792,9932,47632,4.40
USA,m,1941,85,0.19361,0.17652,0.5,9036,1595,8238,37700,4.17
USA,m,1941,86,0.20794,0.18836,0.5,7441,1402,6740,29462,3.96
USA,m,1941,87,0.22389,0.20135,0.5,6039,1216,5431,22721,3.76
USA,m,1941,88,0.24070,0.21484,0.5,4823,1036,4305,17290,3.58
USA,m,1941,89,0.25719,0.22789,0.5,3787,863,3356,12985,3.43
USA,m,1941,90,0.27226,0.23963,0.5,2924,701,2574,9630,3.29
USA,m,1941,91,0.28331,0.24816,0.5,2223,552,1947,7056,3.17
USA,m,1941,92,0.28975,0.25308,0.5,1672,423,1460,5108,3.06
USA,m,1941,93,0.29309,0.25563,0.5,1249,319,1089,3648,2.92
USA,m,1941,94,0.29875,0.25993,0.5,929,242,809,2559,2.75
USA,m,1941,95,0.35550,0.30185,0.5,688,208,584,1751,2.55
USA,m,1941,96,0.37554,0.31617,0.5,480,152,404,1167,2.43
USA,m,1941,97,0.39601,0.33056,0.5,328,109,274,763,2.32
USA,m,1941,98,0.41685,0.34495,0.5,220,76,182,488,2.22
USA,m,1941,99,0.43800,0.35931,0.5,144,52,118,307,2.13
USA,m,1941,100,0.45937,0.37357,0.5,92,34,75,188,2.04
USA,m,1941,101,0.48089,0.38768,0.5,58,22,47,113,1.96
USA,m,1941,102,0.50249,0.40159,0.5,35,14,28,67,1.89
USA,m,1941,103,0.52407,0.41526,0.5,21,9,17,39,1.82
USA,m,1941,104,0.54557,0.42864,0.5,12,5,10,22,1.75
USA,m,1941,105,0.56689,0.44170,0.5,7,3,6,12,1.70
USA,m,1941,106,0.58797,0.45439,0.5,4,2,3,6,1.64
USA,m,1941,107,0.60874,0.46669,0.5,2,1,2,3,1.59
USA,m,1941,108,0.62912,0.47858,0.5,1,1,1,2,1.55
USA,m,1941,109,0.64904,0.49002,0.5,1,0,0,1,1.52
USA,m,1941,110+,0.66847,1.00000,1.5,0,0,0,0,1.50
USA,m,1942,0,0.04898,0.04708,0.18,100000,4708,96123,6258313,62.58
USA,m,1942,1,0.00461,0.00460,0.5,95292,438,95073,6162190,64.67
USA,m,1942,2,0.00261,0.00260,0.5,94854,247,94730,6067117,63.96
USA,m,1942,3,0.00198,0.00198,0.5,94607,187,94513,5972387,63.13
USA,m,1942,4,0.00148,0.00148,0.5,94419,139,94350,5877874,62.25
USA,m,1942,5,0.00125,0.00125,0.5,94280,118,94221,5783524,61.34
USA,m,1942,6,0.00115,0.00115,0.5,94162,108,94108,5689303,60.42
USA,m,1942,7,0.00106,0.00106,0.5,94054,100,94004,5595195,59.49
USA,m,1942,8,0.00102,0.00102,0.5,93954,95,93907,5501191,58.55
USA,m,1942,9,0.00098,0.00098,0.5,93859,92,93813,5407284,57.61
USA,m,1942,10,0.00094,0.00094,0.5,93767,88,93723,5313471,56.67
USA,m,1942,11,0.00095,0.00095,0.5,93679,89,93635,5219748,55.72
USA,m,1942,12,0.00102,0.00102,0.5,93590,95,93543,5126113,54.77
USA,m,1942,13,0.00113,0.00113,0.5,93495,105,93442,5032570,53.83
USA,m,1942,14,0.00126,0.00126,0.5,93390,117,93331,4939128,52.89
USA,m,1942,15,0.00143,0.00143,0.5,93272,133,93206,4845797,51.95
USA,m,1942,16,0.00163,0.00163,0.5,93139,152,93063,4752591,51.03
USA,m,1942,17,0.00181,0.00180,0.5,92987,168,92903,4659528,50.11
USA,m,1942,18,0.00198,0.00198,0.5,92819,184,92728,4566625,49.20
USA,m,1942,19,0.00217,0.00217,0.5,92636,201,92535,4473897,48.30
USA,m,1942,20,0.00232,0.00232,0.5,92435,214,92327,4381362,47.40
USA,m,1942,21,0.00248,0.00248,0.5,92220,229,92106,4289035,46.51
USA,m,1942,22,0.00266,0.00266,0.5,91992,245,91869,4196929,45.62
USA,m,1942,23,0.00275,0.00274,0.5,91747,252,91621,4105059,44.74
USA,m,1942,24,0.00279,0.00279,0.5,91495,255,91368,4013438,43.86
USA,m,1942,25,0.00279,0.00278,0.5,91240,254,91113,3922070,42.99
USA,m,1942,26,0.00276,0.00275,0.5,90986,250,90861,3830957,42.10
USA,m,1942,27,0.00274,0.00274,0.5,90736,248,90612,3740096,41.22
USA,m,1942,28,0.00282,0.00281,0.5,90487,254,90360,3649484,40.33
USA,m,1942,29,0.00294,0.00294,0.5,90233,265,90100,3559124,39.44
USA,m,1942,30,0.00305,0.00305,0.5,89968,274,89831,3469024,38.56
USA,m,1942,31,0.00318,0.00318,0.5,89693,285,89551,3379193,37.67
